# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_balochi_latin	Balochi Latin	bal	Arab	Arab	37	1642	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_balochi_persian	Balochi Persian	bal	Arab	Arab	50	1057	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_balochi_phonetic	Balochi Phonetic	bal	Arab	Arab	70	2853	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_balochi_scientific	Balochi Scientific	bal	Arab	Arab	22	1194	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_balochi_urdu	Balochi Urdu	bal	Arab	Arab	85	1471	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_bambara	Bambara	bm	Latn	Latn	115	115	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_bamum	Bamum	bax	Bamu	Bamu	60	859	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_bangla_joy	Bangla Joy	bn	Beng	Beng	44	1688	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_bangla_munir	Bangla Munir	bn	Beng	Beng	64	8993	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_bangla_probhat	Bangla Probhat	bn	Beng	Beng	105	8305	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_banne	Banne	amf	Latn	Latn	16	481	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbda1	Arabic (101) Basic	ar	Arab	Arab	305	15211	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbda2	Arabic (102) Basic	ar	Arab	Arab	43	1827	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbda3	Arabic (102) AZERTY Basic	ar	Arab	Arab	70	2028	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdadlm	ADLaM Basic	ff,fuf	Latn	Latn	60	870	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdal	Albanian Basic	sq,als	Latn	Latn	245	4976	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdarme	Armenian Eastern Basic	hy	Armn	Armn	47	1274	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdarmph	Armenian Phonetic Basic	hy	Armn	Armn	354	10105	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdarmty	Armenian Typewriter Basic	hy	Armn	Armn	27	1196	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdarmw	Armenian Western Basic	hy	Armn	Armn	35	1774	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdaze	Azeri Cyrillic Basic	azj,az,azb	Latn	Latn	49	1301	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdazel	Azeri Latin Basic	azj			26	1364	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdazst	Azerbaijani (Standard) Basic	azj			67	802	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbash	Bashkir Basic	ba	Cyrl	Cyrl	29	1012	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbe	Belgian French Basic	fr	Latn	Latn	49	1202	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbene	Belgian (Comma) Basic	fr	Latn	Latn	17	972	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbgph	Bulgarian (Phonetic) Basic	bg	Cyrl	Cyrl	226	18105	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbgph1	Bulgarian (Phonetic Traditional) Basic	bg	Cyrl	Cyrl	72	5414	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbhc	Bosnian (Cyrillic) Basic	bs	Latn	Latn	32	932	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdblr	Belarusian Basic	be	Cyrl	Cyrl	35	1435	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdbr	Portuguese (Brazilian) Basic	pt,pt	Latn	Latn	65	2162	windows,macos,linux,desktopWeb,ios,android,mobileWeb
