#codeDisplay		ao.afrobaro.r9	bj.afrobaro.r9	bw.afrobaro.r9	bf.afrobaro.r9	cv.afrobaro.r9	cm.afrobaro.r9	cg.afrobaro.r9	ci.afrobaro.r9	et.afrobaro.r9	sz.afrobaro.r9	ga.afrobaro.r9	gm.afrobaro.r9	gh.afrobaro.r9	gn.afrobaro.r9	ke.afrobaro.r9	ls.afrobaro.r9	lr.afrobaro.r9	mg.afrobaro.r9	mw.afrobaro.r9	ml.afrobaro.r9	mr.afrobaro.r9	mu.afrobaro.r9	ma.afrobaro.r9	mz.afrobaro.r9	na.afrobaro.r9	ne.afrobaro.r9	ng.afrobaro.r9	st.afrobaro.r9	sn.afrobaro.r9	sc.afrobaro.r9	sl.afrobaro.r9	za.afrobaro.r9	sd.afrobaro.r9	tz.afrobaro.r9	tg.afrobaro.r9	tn.afrobaro.r9	ug.afrobaro.r9	zm.afrobaro.r9	zw.afrobaro.r9
#nameDisplay		Angola Afrobarometer Round 9 (2021/2023)	Benin Afrobarometer Round 9 (2021/2023)	Botswana Afrobarometer Round 9 (2021/2023)	Burkina Faso Afrobarometer Round 9 (2021/2023)	Cabo Verde Afrobarometer Round 9 (2021/2023)	Cameroon Afrobarometer Round 9 (2021/2023)	Congo Afrobarometer Round 9 (2021/2023)	Côte d´Ivoire Afrobarometer Round 9 (2021/2023)	Ethiopia Afrobarometer Round 9 (2021/2023)	Eswatini Afrobarometer Round 9 (2021/2023)	Gabon Afrobarometer Round 9 (2021/2023)	Gambia Afrobarometer Round 9 (2021/2023)	Ghana Afrobarometer Round 9 (2021/2023)	Guinea Afrobarometer Round 9 (2021/2023)	Kenya Afrobarometer Round 9 (2021/2023)	Lesotho Afrobarometer Round 9 (2021/2023)	Liberia Afrobarometer Round 9 (2021/2023)	Madagascar Afrobarometer Round 9 (2021/2023)	Malawi Afrobarometer Round 9 (2021/2023)	Mali Afrobarometer Round 9 (2021/2023)	Mauritania Afrobarometer Round 9 (2021/2023)	Mauritius Afrobarometer Round 9 (2021/2023)	Morocco Afrobarometer Round 9 (2021/2023)	Mozambique Afrobarometer Round 9 (2021/2023)	Namibia Afrobarometer Round 9 (2021/2023)	Niger Afrobarometer Round 9 (2021/2023)	Nigeria Afrobarometer Round 9 (2021/2023)	Sao Tome and Principe Afrobarometer Round 9 (2021/2023)	Senegal Afrobarometer Round 9 (2021/2023)	Seychelles Afrobarometer Round 9 (2021/2023)	Sierra Leone Afrobarometer Round 9 (2021/2023)	South Africa Afrobarometer Round 9 (2021/2023)	Sudan Afrobarometer Round 9 (2021/2023)	Tanzania Afrobarometer Round 9 (2021/2023)	Togo Afrobarometer Round 9 (2021/2023)	Tunisia Afrobarometer Round 9 (2021/2023)	Uganda Afrobarometer Round 9 (2021/2023)	Zambia Afrobarometer Round 9 (2021/2023)	Zimbabwe Afrobarometer Round 9 (2021/2023)
#isoRegionCode		AO	BJ	BW	BF	CV	CM	CG	CI	ET	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NE	NG	ST	SN	SC	SL	ZA	SD	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2023																																							
#mode	Speaks																																							
#domain	Home																																							
#populationEligible		36128000	13531000	2653000	22960000	596000	28277000	6038000	28511000	124937000	1206000	2413000	2739000	33797000	14024000	54555000	2317000	5360000	29963000	20664000	22939000	4799000	1300000	37651000	33421000	2585000	26696000	221154000	230000	17536000	107000	8698000	60141000	47487000	66456000	8951000	12404000	47915000	20290000	16488000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																							
#populationSurveyed		1,200	1,200	1,200	1,200	1,199	1,200	1,200	1,200	2,400	1,200	1,200	1,200	2,369	1,200	2,400	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,120	1,200	1,200	1,600	1,200	1,200	1,176	1,200	1,580	1,200	2,400	1,200	1,200	3,393	1,200	1,200
#nationality	citizens																																							
#quantity	percent																																							
#responsesPerIndividual	1																																							
#collectorType	NGO																																							
#collectorName	Afrobarometer																																							
#url	https://www.afrobarometer.org/online-data-analysis/																																							
#dateAccessed	2026-02-23																																							
#documentName	Afrobarometer (R9 2021/2023)																																							
#tableName	What is the primary language you speak in your home?																																							
#notes	From a compliation of other reports, years 2021 and 2023																																							
Language Code	Language Name	Angola	Benin	Botswana	Burkina Faso	Cabo Verde	Cameroon	Congo	Côte d´Ivoire	Ethiopia	Eswatini	Gabon	Gambia	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	South Africa	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
mgr/mamb1297	Mambwe																																						1.0	
nup	Nupe																											1.0												
toi	Tonga																																							1.0
toi	Tokaleya																																						1.0	
brl	Sebirwa			0.9																																				
dida1245	Dida								0.9																															
dop	Lokpa		0.9																																					
lue	Luvale																																						0.9	
pko	Pokot															0.9																								
tum/seng1277	Senga																																						0.9	
bde	Bade																											0.8												
bej	Beja language																																	0.8						
gizi1243	Guiziga						0.8																																	
gjn	Gonja													0.8																										
hay	Kihaya																																		0.8					
idu	Idoma																											0.8												
kno	Kono														0.8																									
lon	Chilomwe																			0.8																				
mas	Kimasai																																		0.8					
maw	Mampruli													0.8																										
mua	Moudan						0.8																																	
nya/nucl1395	Chinyanja																			0.8																				
sna/kore1281	Korekore																																							0.8
wob	Wobé								0.8																															
ati	Attié								0.7																															
eto	Eton						0.7																																	
fon	Fon																																			0.7				
kga	Koyaka								0.7																															
ksb	Kisambaa																																		0.7					
kuj	Kikurya																																		0.7					
lob	Lobi				0.7																																			
man/kao	Khassonké																				0.7																			
mck	Mbunda																																						0.7	
mfv	Manjack																													0.7										
mfv	Manjago												0.7																											
senu1239	Sénoufo				0.7																																			
mand1437	Samo				0.7																																			
snk	Soninké																					0.7																		
tik	Tikari						0.7																																	
abr	Abron								0.6																															
amf	Hamerigna									0.6																														
bin	Edo																											0.6												
dwr	Dawurogna									0.6																														
ful	Fullah																															0.6								
ish	Esan																											0.6												
jit	Kijita																																		0.6					
kon/kng/mis	Fiote/Ibinda	0.6																																						
lam	Lamba																																						0.6	
man/jad	Diakanké														0.6																									
mev	Mano														0.6																									
ngl	Lomue																								0.6															
nya/ngon1270	Chingoni																			0.6																				
nyy/nkon1246	Kinyakyusa																																		0.6					
nyy/nkon1246	Chinkhonde																			0.6																				
orc	Orma															0.6																								
orx	Oron																											0.6												
temn1245	Baga														0.6																									
tum/seng1277	Chisenga																			0.6																				
xnj	Ngoni																																						0.6	
aoa	Angolar																												0.5											
bain1264	Bainouk																													0.5										
bum/bene1244	Bene						0.5																																	
chag1250	Kichaga																																		0.5					
cko	Tchokossi; Anoufom																																			0.5				
deu	German																									0.5														
fip	Kifipa																																		0.5					
haq	Kiha																																		0.5					
keb	Kélé											0.5																												
kuj	Kuria															0.5																								
leb/bisa1264	Bisa																																						0.5	
man	Madingo																															0.5								
mis	Don't know				0.0															0.1					0.3											0.1				
nka	Nkoya																																						0.5	
nla	Mbouda						0.5																																	
nya/mang1391	Chimang’anja																			0.5																				
nya/nucl1395	Nyanja																								0.5															
nym	Kinyamwezi																																		0.5					
ven	Venda																																							0.5
wti	Bertagan									0.5																														
yer	Tarok																											0.5												
aba	Abbey								0.4																															
anu	Agnwakigna									0.4																														
ber	Berber language																																				0.4			
biri1257	Birifor				0.4																																			
gdl	Derashigna									0.4																														
ikw	Ikwere																											0.4												
ilb	IIa																																						0.4	
kin/rufu1238	Rufumbira																																					0.4		
kmb	Kimbundu	0.4																																						
kqn	Kaonde																																						0.4	
kro/dee	Dei																	0.4																						
ktb	Kembatigna									0.4																														
mcp	Maka						0.4																																	
mgr/rung1256	Lungu																																						0.4	
mis	Refused													0.1						0.0	0.2									0.1			0.0							
ruf	Kiluguru																																		0.4					
sna	Shona																								0.4															
yal	Dialounké														0.4																									
blh	Belle																	0.3																						
byv	Bagangte						0.3																																	
dav	Taita															0.3																								
gur/nank1248	Nankani													0.3																										
gur/taln1239	Taln													0.3																										
hau	Haoussa																																			0.3				
heh	Kihehe																																		0.3					
kdn	Kunda																																						0.3	
ksf	Bafia						0.3																																	
lok	Loko																															0.3								
ndh	Chindali																			0.3																				
nim	Kinyiramba																																		0.3					
sbs	Sesubia			0.3																																				
ssw	Manzini										0.3																													
tiv	Tiv																											0.3												
tsn	Setswana																									0.3														
wes	Pidgin						0.3																																	
yao	Ajaua																								0.3															
adj	Adjoukrou								0.2																															
afr	Afrikaans/Seburu			0.2																																				
ara/mey	Maure																				0.2																			
asa	Kipare																																		0.2					
bai/ybb	Dschang						0.2																																	
bam	Bambara								0.2																															
bozo1252	Bozo																				0.2																			
bwc	Bwile																																						0.2	
fmp	Bafang						0.2																																	
grus1239	Grusi													0.2																										
ivor1240	Kroumen								0.2																															
kau	Kanuri																											0.2												
kde	Kimakonde																																		0.2					
kde	Makonde																								0.2															
kdi	Kumam																																					0.2		
khu	Muhumbi	0.2																																						
luy/lsm	Lusamia																																					0.2		
man	Manian														0.2																									
mcn	Massa						0.2																																	
mis	Goin				0.2																																			
nub	Nubian language																																	0.2						
phut1246	Sephuthi																0.2																							
rng	Xironga																								0.2															
xho	Sethepu																0.2																							
xkv/ngol1245	Sengologa			0.2																																				
yal	Yalunka																															0.2								
anw	Anang																											0.1												
auh	Ushi																																						0.1	
avi	Avikam								0.1																															
bai/bbj	Bandjoun						0.1																																	
bem/ngum1254	Ngumbo																																						0.1	
bsc	Bassari																													0.1										
cjk	Chokwe																																						0.1	
cri	Creolo																												0.1											
dua	Douala						0.1																																	
gng	Ngam-Gam																																			0.1				
grus1239	Gruni													0.1																										
gwr	Lugwere																																					0.1		
igb	Ebira																											0.1												
iso	Isoko																											0.1												
kpz	Kupsabinyi																																					0.1		
kvj	Kapsiki						0.1																																	
lns	Banso						0.1																																	
nabi1240	Nabt													0.1																										
nuj	Lunyole																																					0.1		
ogon1240	Ogoni																											0.1												
samo1309	Samogo																				0.1																			
taq	Bella																				0.1																			
wmw	Kimwani																								0.1															
wol	Wolof																					0.1																		
xsm	Kassem													0.1																										
yey	Seyeyi			0.1																																				
bwo	Shinashigna									0.0																														
cri	Forro																												0.0											
cwe	Kikwere																																		0.0					
har	Adergigna orHarari									0.0																														
lai	Chilambya																			0.0																				
mis	Fulse				0.0																																			
mym	Mejengegna									0.0																														
