#codeDisplay		ao.afrobaro.r9	bj.afrobaro.r9	bw.afrobaro.r9	bf.afrobaro.r9	cv.afrobaro.r9	cm.afrobaro.r9	cg.afrobaro.r9	ci.afrobaro.r9	et.afrobaro.r9	sz.afrobaro.r9	ga.afrobaro.r9	gm.afrobaro.r9	gh.afrobaro.r9	gn.afrobaro.r9	ke.afrobaro.r9	ls.afrobaro.r9	lr.afrobaro.r9	mg.afrobaro.r9	mw.afrobaro.r9	ml.afrobaro.r9	mr.afrobaro.r9	mu.afrobaro.r9	ma.afrobaro.r9	mz.afrobaro.r9	na.afrobaro.r9	ne.afrobaro.r9	ng.afrobaro.r9	st.afrobaro.r9	sn.afrobaro.r9	sc.afrobaro.r9	sl.afrobaro.r9	za.afrobaro.r9	sd.afrobaro.r9	tz.afrobaro.r9	tg.afrobaro.r9	tn.afrobaro.r9	ug.afrobaro.r9	zm.afrobaro.r9	zw.afrobaro.r9
#nameDisplay		Angola Afrobarometer Round 9 (2021/2023)	Benin Afrobarometer Round 9 (2021/2023)	Botswana Afrobarometer Round 9 (2021/2023)	Burkina Faso Afrobarometer Round 9 (2021/2023)	Cabo Verde Afrobarometer Round 9 (2021/2023)	Cameroon Afrobarometer Round 9 (2021/2023)	Congo Afrobarometer Round 9 (2021/2023)	Côte d´Ivoire Afrobarometer Round 9 (2021/2023)	Ethiopia Afrobarometer Round 9 (2021/2023)	Eswatini Afrobarometer Round 9 (2021/2023)	Gabon Afrobarometer Round 9 (2021/2023)	Gambia Afrobarometer Round 9 (2021/2023)	Ghana Afrobarometer Round 9 (2021/2023)	Guinea Afrobarometer Round 9 (2021/2023)	Kenya Afrobarometer Round 9 (2021/2023)	Lesotho Afrobarometer Round 9 (2021/2023)	Liberia Afrobarometer Round 9 (2021/2023)	Madagascar Afrobarometer Round 9 (2021/2023)	Malawi Afrobarometer Round 9 (2021/2023)	Mali Afrobarometer Round 9 (2021/2023)	Mauritania Afrobarometer Round 9 (2021/2023)	Mauritius Afrobarometer Round 9 (2021/2023)	Morocco Afrobarometer Round 9 (2021/2023)	Mozambique Afrobarometer Round 9 (2021/2023)	Namibia Afrobarometer Round 9 (2021/2023)	Niger Afrobarometer Round 9 (2021/2023)	Nigeria Afrobarometer Round 9 (2021/2023)	Sao Tome and Principe Afrobarometer Round 9 (2021/2023)	Senegal Afrobarometer Round 9 (2021/2023)	Seychelles Afrobarometer Round 9 (2021/2023)	Sierra Leone Afrobarometer Round 9 (2021/2023)	South Africa Afrobarometer Round 9 (2021/2023)	Sudan Afrobarometer Round 9 (2021/2023)	Tanzania Afrobarometer Round 9 (2021/2023)	Togo Afrobarometer Round 9 (2021/2023)	Tunisia Afrobarometer Round 9 (2021/2023)	Uganda Afrobarometer Round 9 (2021/2023)	Zambia Afrobarometer Round 9 (2021/2023)	Zimbabwe Afrobarometer Round 9 (2021/2023)
#isoRegionCode		AO	BJ	BW	BF	CV	CM	CG	CI	ET	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NE	NG	ST	SN	SC	SL	ZA	SD	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2023																																							
#mode	Speaks																																							
#domain	Home																																							
#populationEligible		36128000	13531000	2653000	22960000	596000	28277000	6038000	28511000	124937000	1206000	2413000	2739000	33797000	14024000	54555000	2317000	5360000	29963000	20664000	22939000	4799000	1300000	37651000	33421000	2585000	26696000	221154000	230000	17536000	107000	8698000	60141000	47487000	66456000	8951000	12404000	47915000	20290000	16488000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																							
#populationSurveyed		1,200	1,200	1,200	1,200	1,199	1,200	1,200	1,200	2,400	1,200	1,200	1,200	2,369	1,200	2,400	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,120	1,200	1,200	1,600	1,200	1,200	1,176	1,200	1,580	1,200	2,400	1,200	1,200	3,393	1,200	1,200
#nationality	citizens																																							
#quantity	percent																																							
#responsesPerIndividual	1																																							
#collectorType	NGO																																							
#collectorName	Afrobarometer																																							
#url	https://www.afrobarometer.org/online-data-analysis/																																							
#dateAccessed	2026-02-23																																							
#documentName	Afrobarometer (R9 2021/2023)																																							
#tableName	What is the primary language you speak in your home?																																							
#notes	From a compliation of other reports, years 2021 and 2023																																							
Language Code	Language Name	Angola	Benin	Botswana	Burkina Faso	Cabo Verde	Cameroon	Congo	Côte d´Ivoire	Ethiopia	Eswatini	Gabon	Gambia	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	South Africa	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
man/bam	Mandinka/Bambara																													4.2										
gej	Mina; Guen																																			4.1				
dyu	Dioula				4.0																																			
grus1239	Gourounsi				4.0																																			
maf	Mafa						4.0																																	
ndc	Ndau																								4.0															
sid	Sidamigna									4.0																														
guz	Kisii															3.9																								
kwn	Rukwangali																									3.9														
ndc	Ndau																																							3.9
rkm	Marka				3.9																																			
man	#Konianké														3.8																									
mdt	Mbédè											3.8																												
nya/chew1246	Chewa																																						3.8	
som	Somali															3.8																								
tso	Shangaan/Tsonga																																3.8							
nzb	Nzébi/Métié											3.7																												
kno	Kono																															3.6								
sna/kara1480	Karanga																																							3.6
gol	Gola																	3.4																						
bobo1253	Bobo				3.3																																			
man/dyu	Diola																													3.3										
bib	Bissa				3.2																																			
ttj	Rutooro																																					3.2		
lom	Lorma																	3.1																						
mev	Mano																	3.1																						
wal	Welayitigna									3.1																														
xkv	Sekgalagadi			3.1																																				
ajg	Adja																																			3.0				
lun	Lunda																																						3.0	
ful/ffm	Peulh / Fulfude																				2.9																			
loz	Silozi																									2.9														
tum	Tumbuka																																						2.9	
any	Agny								2.8																															
kpo	Ikposso; Akposso																																			2.8				
kro/weea1234	Krahn																	2.8																						
limb1267	Limba																															2.8								
ssw	Swazi																																2.8							
swk	Chisena																			2.8																				
kss	Kissi																															2.7								
ven	Venda																																2.7							
ara/mey	Hassania arabic																							2.6																
dgi	Dagari				2.6																																			
las	Lama; Lamba																																			2.6				
miji1238	MijiKenda															2.6																								
myx	Lumasaaba																																					2.6		
nse	Nsenga																																						2.6	
senu1239/kara1479	Karaboro				2.6																																			
tui	Toupouri						2.6																																	
ful	Fulfudé				2.5																																			
vai	Vai																	2.5																						
xon	Konkomba																																			2.5				
alz	Alur																																					2.4		
bete1265	Bété								2.4																															
goa	Gouro								2.4																															
guer1240	Guéré								2.4																															
koq	Kota											2.4																												
knk	Koranko																															2.3								
senu1239	Senufo																				2.3																			
sus	Susu																															2.3								
tog	Chitonga																			2.3																				
bun	Sherbro																															2.2								
her	Seherero			2.2																																				
kwil1238	Teke							2.2																																
bai	Bamileke						2.1																																	
bud	N’Tcha; Bassar																																			2.1				
gur	Frafra													2.1																										
mwn	Namwanga																																						2.1	
tuv	Turkana															2.1																								
diu	Rugririku/Rumanyo																									2.0														
kdj	Ngakarimojong																																					2.0		
kon	Kikongo	2.0																																						
kus	Kusaal													2.0																										
nyu	Cinyungwe																								2.0															
yao	Ciyao																								2.0															
bas	Bassa						1.9																																	
bza	Gbandi																	1.9																						
hdy	Hadiyagna									1.9																														
mhw	Sembukushu			1.9																																				
tsc	Xitswa																								1.9															
box	Bwamu				1.8																																			
gog	Kigogo																																		1.8					
ibb	Ibibio																											1.8												
ife	Ifè; Ana																																			1.8				
nbl	Ndebele																																1.8							
kau	Béri béri (Kanouri)																										1.7													
srr	Serer												1.7																											
taq	Tamasheq																				1.7																			
bobo1253	Bobo																				1.6																			
efi	Efik																											1.6												
hio	Sesarwa			1.6																																				
koo	Lukhonzo																																					1.6		
kss	Kissi																	1.6																						
lch	Nganguela	1.6																																						
kon/ldi	Lari							1.6																																
pcm	Pidgin English																											1.6												
xon	Likpakpaln													1.6																										
mas	Masai/Samburu															1.5																								
mhw	Thimbukushu																									1.5														
leb/lala1265	Lala																																						1.5	
snk	Soninke																													1.5										
tsv	Tsogho											1.5																												
urh	Urhobo																											1.5												
chw	Chuabo																								1.4															
ful	Fulani																											1.4												
leh	Lenje																																						1.4	
lob	Lobi								1.4																															
man	Mandingo																	1.4																						
nyk	Nhaneca	1.4																																						
wci	Ouatchi																																			1.4				
xon	Konkonba													1.4																										
bax	Bamoun						1.3																																	
gba	Gbaya						1.3																																	
keu	Akébou																																			1.3				
lom	Loma														1.3																									
mye	Myénè											1.3																												
ndon1253	Oshiwambo/Oshikwanhama	1.3																																						
rim	Kinyaturu																																		1.3					
sbs	Masubia																									1.3														
sgw	Guragigna									1.3																														
toh	Bitonga																								1.3															
aar	Afarigna									1.2																														
ewo	Ewondo						1.2																																	
gux	Gourma																																			1.2				
hau	Hausa													1.2																										
hau	Haoussa						1.2																																	
igl	Igala																											1.2												
irk	Kiiraq																																		1.2					
kbr	Kafficho									1.2																														
kro	Kru																	1.2																						
kula1277	Koulango								1.2																															
mxx	Mahouka								1.2																															
nmz	Nawdem; Losso																																			1.2				
orm/gax	Borana															1.2																								
sna/zezu1238	Zezuru																																							1.2
adh	Japadhola																																					1.1		
bud	Tchamba																																			1.1				
bwr	Bura																											1.1												
drs	Gedogna									1.1																														
gmv	Gamogna									1.1																														
god	Godié								1.1																															
stv	Silte									1.1																														
bzw	Bassa																											1.0												
bum	Bula						1.0																																	
cce	Chope																								1.0															
mhi	Madi																																					1.0		
ijo	Ijaw																											1.0												
luo	Kijaruo																																		1.0					
