#codeDisplay		ao.afrobaro.r10	bj.afrobaro.r10	bw.afrobaro.r10	cv.afrobaro.r10	cm.afrobaro.r10	td.afrobaro.r10	km.afrobaro.r10	cg.afrobaro.r10	ci.afrobaro.r10	sz.afrobaro.r10	ga.afrobaro.r10	gm.afrobaro.r10	gh.afrobaro.r10	gn.afrobaro.r10	ke.afrobaro.r10	ls.afrobaro.r10	lr.afrobaro.r10	mg.afrobaro.r10	mw.afrobaro.r10	ml.afrobaro.r10	mr.afrobaro.r10	mu.afrobaro.r10	ma.afrobaro.r10	mz.afrobaro.r10	na.afrobaro.r10	ng.afrobaro.r10	st.afrobaro.r10	sn.afrobaro.r10	sc.afrobaro.r10	sl.afrobaro.r10	za.afrobaro.r10	tz.afrobaro.r10	tn.afrobaro.r10	ug.afrobaro.r10	zm.afrobaro.r10	zw.afrobaro.r10
#nameDisplay		Angola Afrobarometer Round 10 (2024/2025)	Benin Afrobarometer Round 10 (2024/2025)	Botswana Afrobarometer Round 10 (2024/2025)	Cabo Verde Afrobarometer Round 10 (2024/2025)	Cameroon Afrobarometer Round 10 (2024/2025)	Chad Afrobarometer Round 10 (2024/2025)	Comoros Afrobarometer Round 10 (2024/2025)	Congo Afrobarometer Round 10 (2024/2025)	Côte d´Ivoire Afrobarometer Round 10 (2024/2025)	Eswatini Afrobarometer Round 10 (2024/2025)	Gabon Afrobarometer Round 10 (2024/2025)	Gambia Afrobarometer Round 10 (2024/2025)	Ghana Afrobarometer Round 10 (2024/2025)	Guinea Afrobarometer Round 10 (2024/2025)	Kenya Afrobarometer Round 10 (2024/2025)	Lesotho Afrobarometer Round 10 (2024/2025)	Liberia Afrobarometer Round 10 (2024/2025)	Madagascar Afrobarometer Round 10 (2024/2025)	Malawi Afrobarometer Round 10 (2024/2025)	Mali Afrobarometer Round 10 (2024/2025)	Mauritania Afrobarometer Round 10 (2024/2025)	Mauritius Afrobarometer Round 10 (2024/2025)	Morocco Afrobarometer Round 10 (2024/2025)	Mozambique Afrobarometer Round 10 (2024/2025)	Namibia Afrobarometer Round 10 (2024/2025)	Nigeria Afrobarometer Round 10 (2024/2025)	Sao Tome and Principe Afrobarometer Round 10 (2024/2025)	Senegal Afrobarometer Round 10 (2024/2025)	Seychelles Afrobarometer Round 10 (2024/2025)	Sierra Leone Afrobarometer Round 10 (2024/2025)	South Africa Afrobarometer Round 10 (2024/2025)	Tanzania Afrobarometer Round 10 (2024/2025)	Tunisia Afrobarometer Round 10 (2024/2025)	Uganda Afrobarometer Round 10 (2024/2025)	Zambia Afrobarometer Round 10 (2024/2025)	Zimbabwe Afrobarometer Round 10 (2024/2025)		#isoRegionCode		AO	BJ	BW	CV	CM	TD	KM	CG	CI	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NG	ST	SN	SC	SL	ZA	TZ	TN	UG	ZM	ZW
#isoRegionCode		AO	BJ	BW	CV	CM	TD	KM	CG	CI	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NG	ST	SN	SC	SL	ZA	TZ	TN	UG	ZM	ZW		
#yearCollected	2025																																				
#mode	Speaks																																				
#domain	Home																																				
#populationEligible		38369000	14266000	2742000	607000	29771000	19135000	875000	6314000	29971000	1228000	2509000	2876000	35108000	14700000	56760000	2369000	5597000	31425000	21753000	24383000	5060000	1303000	38394000	35343000	2668000	231849000	239000	18453000	109000	9072000	61352000	70418000	12616000	50599000	21420000	17198000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																				
#populationSurveyed		1,200	1,200	1,200	1,200	1,200	1,128	1,200	1,200	1,200	1,200	1,200	1,200	2,400	1,200	2,400	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,199	1,200	1,600	1,200	1,200	1,200	1,200	1,600	2,400	1,200	2,400	1,200	1,200
#nationality	citizens																																				
#quantity	percent																																				
#responsesPerIndividual	1																																				
#collectorType	NGO																																				
#collectorName	Afrobarometer																																				
#url	https://www.afrobarometer.org/online-data-analysis/																																				
#dateAccessed	2026-03-05																																				
#documentName	Afrobarometer (R10 2024/2025)																																				
#tableName	What is the primary language you speak in your home?																																				
#notes	From a compliation of other reports, years 2024 and 2025																																				
Language Code	Language Name	Angola	Benin	Botswana	Cabo Verde	Cameroon	Chad	Comoros	Congo	Côte d´Ivoire	Eswatini	Gabon	Gambia	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Nigeria	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	South Africa	Tanzania	Tunisia	Uganda	Zambia	Zimbabwe
tuv	Turkana															1.4																					
orm/gax	Borana															0.5																					
kro/bsq	Bassa																	7.7																			
blh	Belle																	0.2																			
kro/dee	Dei																	0.4																			
bza	Gbandi																	1.6																			
dnj	Gio																	3																			
gol	Gola																	3.1																			
kro/grb	Grebo																	3.6																			
kss	Kissi																	2.1																			
kpe	Kpelle																	8.9																			
kro/weea1234	Krahn																	1.8																			
kro	Kru																	2.4																			
lom	Lorma																	1.3																			
man	Mandingo																	2.9																			
mev	Mano																	1.4																			
men	Mende																	1.3																			
vai	Vai																	1.7																			
krn	Sapo																	1.1																			
lir	Liberian English																	26.3																			
sot	Sesotho																97.3																				
phut1246	Sephuthi																1																				
xho	Sethepu																0.9																				
tum	Chitumbuka																			10.7																	
nyy/nkon1246	Chinkhonde																			1																	
lai	Chilambya																			0.2																	
nya/chew1246	Chichewa																			75.7																	
yao	Chiyao																			6.2																	
nya/ngon1270	Chingoni																			0.8																	
lon	Chilomwe																			0.6																	
nya/mang1391	Chimang’anja																			0.3																	
swk	Chisena																			1.2																	
ndh/sukw1242	Chisukwa																			0.2																	
tum/seng1277	Chisenga																			0.3																	
tog	Chitonga																			1.5																	
kzn	Chikhokhola																			>0.00																	
ndh	Chindali																			0.3																	
nya/nucl1395	Chinyanja																			0.5																	
mlg	#Malagasy officiel																		49.6																		
mlg	#Malagasy avec spécificité régionale																		50.4																		
bam	Bambara																				59.7																
taq	Bella																				0.2																
bobo1253	Bobo																				1.5																
bozo1252	Bozo																				1.5																
dogo1299	Dogon																				6.9																
hau	Haoussa																				0.1																
xkg	Kakolo																				0.2																
man/kao	Khassonké																				0.4																
man	Malinké																				4.5																
senu1239/myk	Minianka																				4.6																
mos	Mossi																				0.1																
ful/ffm	Peulh / Fulfulde																				4.7																
senu1239	Senufo																				2.3																
snk	Soninké / Sarakollé																				3.8																
son	Sonrhaï																				5.5																
taq	Tamasheq																				3.1																
ara/ary	Moroccan Arabic																							90.3													
ara/mey	Hassania Arabic																							1.3													
ber/tzm	Amazigh																							8.3													
vmw	Makua																								22.2												
seh	Sena																								5.5												
ndc	Ndau																								1.4												
tso	Changana																								6.6												
nya/nucl1395	Nyanja																								1												
cce	Chope																								0.4												
toh	Bitonga																								0.6												
kde	Makonde																								1												
chw	Chuabo																								3.2												
ngl	Lomue																								5.3												
sna	Shona																								0.2												
tsc	Xitswa																								2.5												
rng	Xironga																								0.5												
nya/chew1246	Chichewa																								5.1												
nyu	Cinyungwe																								1.6												
yao	Ciyao																								1												
eko/ekot1239	Ekoti																								1.3												
wmw	Kimwani																								0.6												
mfe	Créole																						97.4														
afr	Afrikaans																									10.7											
naq	Nama/Damara																									9.2											
ndon1253	Oshiwambo (Oshindonga/Oshikwanyama)																									45											
her	Otjiherero																									11.7											
kwn	Rukwangali																									7.3											
diu	Rugririku/Rumanyo																									1.6											
mhw	Thimbukushu																									0.8											
loz	Silozi																									2.9											
tsn	Setswana																									0.1											
sbs	Masubia																									2.5											
hau	Hausa																										32.4										
ibo	Igbo																										11.4										
yor	Yoruba																										17.3										
pcm	Pidgin English																										1.5										
efi	Efik																										2										
igb	Ebira																										0.3										
ful/fuv	Fulani																										2.3										
ibb	Ibibio																										1.1										
kau	Kanuri																										0.8										
tiv	Tiv																										2.6										
nup	Nupe																										0.4										
ijo	Ijaw																										1.2										
bin	Edo																										0.2										
igl	Igala																										0.7										
urh	Urhobo																										0.3										
anw	Anang																										0.6										
idu	Idoma																										0.7										
ish	Esan																										0.1										
bwr	Babur																										0.8										
bom	Berom																										0.5										
bwr	Bura																										1.2										
ekp	Ekpeye																										1.5										
eza	Ezza																										0.6										
gbr	Gbagyi																										1										
gby	Gwari																										0.5										
nbr	Numana																										0.4										
ann	Obolo																										0.6										
ann	Andoni																										1.4										
wolo1247/wol	Wolof / Lebou																												58								
ful/fuc	Pulaar/Toucouleur																												21.8								
srr	Serer																												8.7								
man/bam	Mandinka/Bambara																												5								
snk	Soninke																												1.6								
man/dyu	Diola																												2.6								
mfv	Manjack																												0.6								
bain1264	Bainouk																												0.1								
bsc	Bassari																												0.1								
kri	Krio																														30.1						
men	Mende																														32.7						
temn1245	Themne																														16.7						
kno	Kono																														5.1						
lok	Loko																														0.7						
bun	Sherbro																														0.8						
limb1267	Limba																														2.6						
ful/fuf	Fullah																														1.5						
knk	Koranko																														4.3						
yal	Yalunka																														0.2						
man	Madingo																														1.1						
sus	Susu																														3						
kss	Kissi																														0.9						
cri	Creolo																											0.2									
cri	Forro																											0.1									
aoa	Angolar																											0.7									
crs	Creole																													85.7							
ssw	siSwati										96.4																										
nyy/nkon1246	Kinyakyusa																																1.1				
chag1250	Kichaga																																0.6				
hay	Kihaya																																1.6				
