#codeDisplay		dz.afrobaro.r6	bj.afrobaro.r6	bw.afrobaro.r6	bf.afrobaro.r6	bi.afrobaro.r6	cm.afrobaro.r6	cv.afrobaro.r6	ci.afrobaro.r6	eg.afrobaro.r6	ga.afrobaro.r6	gh.afrobaro.r6	gn.afrobaro.r6	ke.afrobaro.r6	ls.afrobaro.r6	lr.afrobaro.r6	mg.afrobaro.r6	mw.afrobaro.r6	ml.afrobaro.r6	mu.afrobaro.r6	ma.afrobaro.r6	mz.afrobaro.r6	na.afrobaro.r6	ne.afrobaro.r6	ng.afrobaro.r6	st.afrobaro.r6	sn.afrobaro.r6	sl.afrobaro.r6	za.afrobaro.r6	sd.afrobaro.r6	sz.afrobaro.r6	tz.afrobaro.r6	tg.afrobaro.r6	tn.afrobaro.r6	ug.afrobaro.r6	zm.afrobaro.r6	zw.afrobaro.r6
#nameDisplay		Algeria Afrobarometer Round 6 (2014/2015)	Benin Afrobarometer Round 6 (2014/2015)	Botswana Afrobarometer Round 6 (2014/2015)	Burkina Faso Afrobarometer Round 6 (2014/2015)	Burundi Afrobarometer Round 6 (2014/2015)	Cameroon Afrobarometer Round 6 (2014/2015)	Cape Verde Afrobarometer Round 6 (2014/2015)	Côte d´Ivoire Afrobarometer Round 6 (2014/2015)	Egypt Afrobarometer Round 6 (2014/2015)	Gabon Afrobarometer Round 6 (2014/2015)	Ghana Afrobarometer Round 6 (2014/2015)	Guinea Afrobarometer Round 6 (2014/2015)	Kenya Afrobarometer Round 6 (2014/2015)	Lesotho Afrobarometer Round 6 (2014/2015)	Liberia Afrobarometer Round 6 (2014/2015)	Madagascar Afrobarometer Round 6 (2014/2015)	Malawi Afrobarometer Round 6 (2014/2015)	Mali Afrobarometer Round 6 (2014/2015)	Mauritius Afrobarometer Round 6 (2014/2015)	Morocco Afrobarometer Round 6 (2014/2015)	Mozambique Afrobarometer Round 6 (2014/2015)	Namibia Afrobarometer Round 6 (2014/2015)	Niger Afrobarometer Round 6 (2014/2015)	Nigeria Afrobarometer Round 6 (2014/2015)	Sao Tome and Principe Afrobarometer Round 6 (2014/2015)	Senegal Afrobarometer Round 6 (2014/2015)	Sierra Leone Afrobarometer Round 6 (2014/2015)	South Africa Afrobarometer Round 6 (2014/2015)	Sudan Afrobarometer Round 6 (2014/2015)	Swaziland Afrobarometer Round 6 (2014/2015)	Tanzania Afrobarometer Round 6 (2014/2015)	Togo Afrobarometer Round 6 (2014/2015)	Tunisia Afrobarometer Round 6 (2014/2015)	Uganda Afrobarometer Round 6 (2014/2015)	Zambia Afrobarometer Round 6 (2014/2015)	Zimbabwe Afrobarometer Round 6 (2014/2015)
#isoRegionCode		DZ	BJ	BW	BF	BI	CM	CV	CI	EG	GA	GH	GN	KE	LS	LR	MG	MW	ML	MU	MA	MZ	NA	NE	NG	ST	SN	SL	ZA	SD	SZ	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2015																																				
#mode	Speaks																																				
#domain	Home																																				
#populationEligible		39146000	10772000	2282000	18443000	10668000	22662000	549000	23292000	96675000	1999000	28532000	11475000	46346000	2106000	4563000	24531000	16707000	17828000	1293000	34468000	26435000	2263000	19740000	181703000	199000	14162000	7228000	55220000	37586000	1130000	51608000	7380000	11493000	36894000	15991000	14006000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																				
#populationSurveyed		1,200	1,200	1,200	1,200	1,201	1,184	1,200	1,199	1,192	1,198	2,400	1,200	2,397	1,200	1,199	1,201	2,400	1,200	1,200	1,200	2,400	1,200	1,200	2,400	1,196	1,200	1,191	2,388	1,200	1,200	2,386	1,200	1,200	2,400	1,199	2,400
#nationality	citizens																																				
#quantity	percent																																				
#responsesPerIndividual	1																																				
#collectorType	NGO																																				
#collectorName	Afrobarometer																																				
#url	https://www.afrobarometer.org/online-data-analysis/																																				
#dateAccessed	2026-03-05																																				
#documentName	Afrobarometer (R6 2014/2015)																																				
#tableName	What is the primary language you speak in your home?																																				
#notes	From a compliation of other reports, years 2014 and 2015																																				
Language Code	Language Name	Algeria	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Côte d´Ivoire	Egypt	Gabon	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Sierra Leone	South Africa	Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
aka	Akan											50.10%																									
ewe	Ewe											15.40%																									
gada1257	Ga/Dangbe											8.90%																									
dag	Dagbani											5.70%																									
hau	Hausa											0.60%																									
dga/wlx	Waala											1.10%																									
mos	Moshie											0.40%																									
maw	Mampruli											1.00%																									
xon	Likpakpaln											0.60%																									
kus	Kusal											1.70%																									
xon	Konkomba											1.40%																									
gjn	Gonja											1.70%																									
gur	Frafra											1.70%																									
dga	Dagaari											3.00%																									
bib	Bissa											0.80%																									
kdh	Kotokoli											0.40%																									
gurm1249	Gruma											0.50%																									
bwu	Buli											0.80%																									
gurm1249/bud	Basari											0.40%																									
sus	Soussou												20.70%																								
ful/fuf	Poular												35.40%																								
man	Maninka												28.40%																								
kpe/gkp	Kpelè												4.50%																								
mev	Mano												0.80%																								
lom	Loma												1.10%																								
kqs	Kissié												5.50%																								
kik	Kikuyu													20.00%																							
luo	Luo													10.20%																							
luy	Luhya													11.80%																							
kam	Kamba													10.30%																							
kln	Kalenjin													9.70%																							
guz	Kisii													6.10%																							
cent2274/mer	#Meru/Embu													7.20%																							
nucl1431/mas	#Maasai/Samburu													2.80%																							
miji1238	Mijikenda													4.30%																							
dav	Taita													0.60%																							
som	Somali													5.40%																							
pko	Pokot													0.50%																							
tuv	Turkana													3.20%																							
kuj	Kuria													0.80%																							
gex	Garre													0.30%																							
orm/gax	Borana													0.30%																							
kro/bsq	Bassa															10.40%																					
blh	Belle															3.10%																					
kro/dee	Dei															1.20%																					
bza	Gbandi															3.50%																					
dnj	Gio															8.40%																					
gol	Gola															4.80%																					
kro/grb	Grebo															9.20%																					
kss	Kissi															3.90%																					
kpe	Kpelle															10.20%																					
kro/weea1234	Krahn															4.20%																					
kro	Kru															6.10%																					
lom	Lorma															7.50%																					
man	Mandingo															4.80%																					
mev	Mano															7.50%																					
men	Mende															1.90%																					
vai	Vai															6.50%																					
lir	Liberian English															1.20%																					
mlg	#Malgache « officiel »																35.60%																				
mlg	#Malgache avec spécificité régionale																64.20%																				
sot	Sesotho														98.60%																						
phut1246	Sephuthi														0.10%																						
xho	Sethepu														0.70%																						
ber/zgh	Tamazight																				15.60%																
ara/mey	Hassaniya																				1.20%																
tum	Chitumbuka																	9.80%																			
nyy/nkon1246	Chinkhonde																	0.40%																			
lai	Chilambya																	0.70%																			
nya/chew1246	Chichewa																	51.10%																			
yao	Chiyao																	11.80%																			
nya/ngon1270	Chingoni																	6.40%																			
lon	Chilomwe																	11.00%																			
nya/mang1391	Chimang'anja																	4.10%																			
swk	Chisena																	1.60%																			
ndh/sukw1242	Chisukwa																	0.10%																			
tum/seng1277	Chisenga																	0.10%																			
tog	Chitonga																	1.50%																			
ara	Arabe																		0.20%																		
bam	Bambara																		54.90%																		
taq	Bella																		0.20%																		
bobo1253	Bobo																		1.50%																		
bozo1252	Bozo																		2.40%																		
man/rkm	Dafing																		0.10%																		
dogo1299	Dogon																		8.40%																		
xkg	Kakolo																		0.40%																		
man/kao	Khassonké																		0.90%																		
man	Malinké																		4.50%																		
ara/mey	Maure																		0.20%																		
senu1239/myk	Mianka																		3.90%																		
ful/ffm	Peulh/Fulfude																		5.70%																		
samo1309	Samogo																		0.80%																		
senu1239	Senufo																		2.20%																		
snk	Soninké/Sarakolé																		5.00%																		
son	Sonrhai																		7.90%																		
taq	Tamasheq																		0.50%																		
vmw	Makua																					27.20%															
seh	Sena																					8.00%															
ndc	Ndau																					4.30%															
tso	Changana																					13.50%															
nya/nucl1395	Nyanja																					3.20%															
cce	Chope																					2.70%															
toh	Bitonga																					1.60%															
kde	Makonde																					2.70%															
chw	Chuabo																					4.90%															
yao	Ajaua																					2.30%															
ngl	Lomwe																					4.70%															
nya/chew1246	Chewa																					1.20%															
nyu	Nyungwe																					4.20%															
tsc	Xitswa																					1.10%															
afr	Afrikaans																						9.40%														
deu	German																						0.50%														
naq	Nama/Damara																						13.40%														
ndon1253	Oshiwambo (Oshindonga/Oshikwanyama)																						46.30%														
her	Otjiherero																						10.80%														
kwn	Rukwangali																						5.20%														
diu	Rugririku/Rumanyo																						3.70%														
mhw	Thimbukushu																						2.20%														
loz	Silozi																						2.20%														
tsn	Setswana																						0.70%														
sbs	Masubia																						1.40%														
sna	Shona																						0.70%														
hau	Haoussa																							63.60%													
dje	Zarma/Songhaï																							21.40%													
ful/fuq	Fulfuldé																							5.30%													
taq	Tamasheq																							5.70%													
kau	Kanuri																							3.40%													
gux	Gourmantchéma																							0.20%													
ara	Arabe																							0.30%													
