#nameDisplay	AXL Pitcairn Islands		
#isoRegionCode	PN		
#yearCollected	2021		
#languageUse		Writes	Speaks
#acquisitionOrder		L2	L1
#population	47		
#populationSource	https://www.axl.cefan.ulaval.ca/pacifique/Pitcairn.htm		
#responsesPerIndividual	1		
#quantity	percent		
#collectorType	Secondary		
#presentedBy	AXL		
#url	https://www.axl.cefan.ulaval.ca/pacifique/Pitcairn.htm		
Language Code	Language		
eng	English	100	
pih	Pitcairn Creole		100
