#codeDisplay		us2023	us2023eng	us2023no.eng	#us2023eng.verywell	#us2023eng.well	#us2023eng.notwell	#us2023eng.notatall
#nameDisplay		US 2023	US 2023 also Speaks English	US 2023 does not speak English	US 2023 speaks English Very well	US 2023 speaks English Well	US 2023 speaks English Not well	US 2023 speaks English Not at all
#isoRegionCode	US							
#yearCollected	2023							
#url	https://data.census.gov/app/mdat/ACSPUMS1Y2023/table?cv=ENG&rv=LANP&wt=PWGTP							
#tableName	Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2023)							
#columnName		Language spoken at home	Language spoken at home x Ability to speak English Very well + Well	Language spoken at home x Ability to speak English Not well + Not at all	Very well	Well	Not well	Not at all
#collectorName	United States Census Bureau							
#collectorType	Government							
#dateAccessed	2025-08-11							
#age	0+							
#gender	Any							
#modality	Spoken							
#proficiency			English: Very well or Well	English: Not well or not at all	Very well	Well	Not well	Not at all
#acquisitionOrder	Any							
#domain	Home							
#eligiblePopulation	334,914,896							
#responsesPerIndividual	1							
#notes	American Community Survey							
Language Code	Language spoken at home	US 2023	US 2023 also Speaks English	US 2023 does not speak English	Very well	Well	Not well	Not at all
mul	Other English-based Creole languages	54,340	51,117	3,223	41,220	9,897	2,437	786
mul	Other and unspecified languages	53,832	45,381	8,451	32,271	13,110	6,728	1,723
swe	Swedish	53,468	51,898	1,570	48,757	3,141	1,363	207
kar	Karen languages	53,365	33,965	19,400	20,645	13,320	10,347	9,053
mul	Other Afro-Asiatic languages	52,381	47,869	4,512	38,183	9,686	3,265	1,247
mul	Other Middle and South American languages	47,520	21,231	26,289	14,011	7,220	10,255	16,034
mul	Other Niger-Congo languages	47,124	46,432	692	33,813	12,619	692	0
hrv	Croatian	46,726	43,152	3,574	33,739	9,413	3,342	232
afr	Afrikaans	42,245	41,698	547	38,651	3,047	498	49
sin	Sinhala	42,180	40,085	2,095	32,564	7,521	1,903	192
haw	Hawaiian	39,980	39,265	715	35,307	3,958	715	0
lit	Lithuanian	38,787	36,379	2,408	27,854	8,525	1,625	783
ces	Czech	38,506	36,478	2,028	31,568	4,910	1,822	206
mul	Other languages of Africa	36,772	35,716	1,056	24,297	11,419	1,056	0
mul	Other Eastern Malayo-Polynesian languages	36,395	34,980	1,415	26,381	8,599	1,335	80
aii	Assyrian Neo-Aramaic	32,866	27,455	5,411	21,178	6,277	3,200	2,211
kuki1246	Chin languages	32,178	21,418	10,760	12,572	8,846	9,488	1,272
ton	Tongan	29,807	26,603	3,204	21,405	5,198	2,870	334
kea	Kabuverdianu	28,570	22,710	5,860	16,329	6,381	2,692	3,168
mul	Other Indo-European languages	28,492	26,705	1,787	23,090	3,615	1,335	452
nor	Norwegian	28,402	27,511	891	26,065	1,446	891	0
cld	Chaldean Neo-Aramaic	26,851	22,339	4,512	15,981	6,358	2,635	1,877
wol	Wolof	26,397	23,768	2,629	19,292	4,476	1,974	655
man	Manding languages	26,039	22,871	3,168	18,357	4,514	3,040	128
dan	Danish	25,355	24,983	372	23,119	1,864	372	0
cha	Chamorro	25,003	23,591	1,412	21,505	2,086	1,267	145
