Code	Name	Collection Year	Population	Country Population	URL
wsg_IN	Adilabad Gondi (India)	2001	275,379	1,028,610,328	https://iso639-3.sil.org/sites/iso639-3/files/change_requests/2015/2015-062_wsg.pdf
esg_IN	Aheri Gondi (India)	2015	150,000	1,328,000,000	https://iso639-3.sil.org/sites/iso639-3/files/change_requests/2015/2015-062_esg.pdf
