Title	Local Title (formatted)	Status	Language	Script (ISO 15924 code)	WP code	Locale Code(s)	Articles	Active Users	URL
Chewa Wikipedia	Wikipedia Chichewa	Active	Chewa	Latn	ny	nya	1,124	19	ny.wikipedia.org
Guianan Creole Wikipedia	Wikipédja an kriyòl gwiyannen	Active	French Guianese Creole	Latn	gcr	gcr	1,077	10	gcr.wikipedia.org
Cherokee Wikipedia	ᏫᎩᏇᏗᏯ ᏣᎳᎩ (Wigiquediya tsalagi)	Active	Cherokee	Cher	chr	chr	1,002	27	chr.wikipedia.org
Gothic Wikipedia	𐌲𐌿𐍄𐌹𐍃𐌺 𐍅𐌹𐌺𐌹𐍀𐌰𐌹𐌳𐌾𐌰 (Gutisk wikipaidja)	Active	Gothic	Goth	got	got	1,011	23	got.wikipedia.org
Tsonga Wikipedia	Wikipediya Xitsonga	Active	Tsonga	Latn	ts	tso	1,087	18	ts.wikipedia.org
Igala Wikipedia	Wikipídiya Igala	Active	Igala	Latn	igl	igl	1,510	16	igl.wikipedia.org
Bambara Wikipedia	Wikipedi Bamanankan	Active	Bambara	Latn	bm	man/bam	932	24	bm.wikipedia.org
Venda Wikipedia	Wikipedia nga tshiVenḓa	Active	Venda	Latn	ve	ven	900	27	ve.wikipedia.org
Pannonian Rusyn Wikipedia	Википедия на панонским руским язику (Vikipedija na panonskim ruskim yaziku)	Active	Pannonian Rusyn	Cyrl	rsk	rue/rsk	1,386	27	rsk.wikipedia.org
Romani Wikipedia	Romani Vikipidiya	Active	Romani (Vlax Romani)	Latn	rmy	rom/rmy	758	14	rmy.wikipedia.org
Cheyenne Wikipedia	Vekepete'a Tsėhésenėstsestȯtse	Active	Cheyenne	Latn	chy	chy	1,858	14	chy.wikipedia.org
Kirundi Wikipedia	Wikipediya mu Ikirundi	Active	Kirundi	Latn	rn	run	730	27	rn.wikipedia.org
Wayuu Wikipedia	Wikipeetia süka wayuunaiki	Active	Wayuu	Latn	guc	guc	702	27	guc.wikipedia.org
Iñupiaq Wikipedia	Uiqipitia Iñupiatun	Active	Iñupiaq	Latn	ik	iku/ipk	595	13	ik.wikipedia.org
Adyghe Wikipedia	Адыгэ Википедие (Adıgə Vikipedie)	Active	Adyghe	Cyrl	ady	ady	646	22	ady.wikipedia.org
Chamorro Wikipedia	Wikipedia Chamoru	Active	Chamorro	Latn	ch	cha	582	21	ch.wikipedia.org
Pontic Wikipedia	Ποντιακόν Βικιπαίδεια (Pontiakón Bikipaídeia)	Active	Pontic Greek	Grek	pnt	pnt	666	12	pnt.wikipedia.org
Nupe Wikipedia	Wikipedia Nya Nupe	Active	Nupe	Latn	nup	nup	928	29	nup.wikipedia.org
Obolo Wikipedia	Wìkìpedia Usem Obolo	Active	Obolo	Latn	ann	ann	435	16	ann.wikipedia.org
Inuktitut Wikipedia	ᐃᓄᒃᑎᑐᑦ ᐊᕆᐅᙵᐃᐹ (Uikipitia inuktitut)	Active	Inuktitut	Cans	iu	iku	434	31	iu.wikipedia.org
Paiwan Wikipedia	wikipidiya nua pinayuanan	Active	Paiwan	Latn	pwn	pwn	377	3	pwn.wikipedia.org
Sango Wikipedia	Wïkïpêdïyäa na Sängö	Active	Sango	Latn	sg	sag	375	8	sg.wikipedia.org
Tai Nuea Wikipedia	ᥝᥤᥱ ᥑᥤᥱ ᥚᥤᥱ ᥖᥤᥱ ᥕᥣᥱ ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ	Active	Tai Nuea	Tale	tdd	tdd	449	9	tdd.wikipedia.org
Tigrinya Wikipedia	ዊኪፐድያ ብትግርኛ (Wikipädya bətəgrəñña)	Active	Tigrinya	Ethi	ti	tir	365	20	ti.wikipedia.org
Dinka Wikipedia	Wikipedia Thuɔŋjäŋ	Active	Dinka	Latn	din	din	337	10	din.wikipedia.org
Dzongkha Wikipedia	རྫོང་ཁ་ཝེ་ཁེ་རིག་མཛོད (Rdzong kha we khe rig mdzod)	Active	Dzongkha	Tibt	dz	dzo	382	34	dz.wikipedia.org
Bajau Sama Wikipedia	Wikipidia Bajau Sama	Active	West Coast Bajau	Latn	bdr	bdr	242	8	bdr.wikipedia.org
Southern Ndebele Wikipedia	Wikiphidiya yelimi lesiNdebele	Active	Southern Ndebele	Latn	nr	nbl	325	11	nr.wikipedia.org
Tigre Wikipedia	ዊኪፒድያ ህግየ ትግሬ	Active	Tigre	Ethi	tig	tig	62	11	tig.wikipedia.org
Toki Pona Wikipedia	lipu Wikipesija pi toki pona	Active	Toki Pona	Latn	tok	tok	4,369	110	
Karekare Wikipedia	Karai-Karai Wikipedia	Active	Karekare		kai	kai	1,639	15	kai.wikipedia.org
Jju Wikipedia	Wikipedia Asat Angban Bvwo	Active	Jju		kaj	kaj	301	15	kaj.wikipedia.org
Arakanese Wikipedia	ရခိုင်ဝီကီးပီးဒီယား	Active	Arakanese		rki	rki	1,365	13	rki.wikipedia.org
Nawat Wikipedia	Wikipedia Ne Wey Amachti Tupal	Active	Nawat		ppl	ppl	252	13	ppl.wikipedia.org
Greenlandic Wikipedia	Kalaallisut Wikipedia	Closed	Greenlandic	Latn	kl	kal			kl.wikipedia.org
Cree Wikipedia	ᐎᑭᐱᑎᔭ ᓀᐦᐃᔭᐍᐏᐣ (Wikipitiya nēhiyawēwin)	Closed	Cree	Cans	cr	cre			cr.wikipedia.org
Ndonga Wikipedia (closed)		Closed	Ovambo (Ndonga)	Latn	ng	ndo			ng.wikipedia.org
Choctaw Wikipedia (closed)		Closed	Choctaw	Latn	cho	cho			cho.wikipedia.org
Kwanyama Wikipedia (closed)		Closed	Ovambo (Kwanyama)	Latn	kj	kua			kj.wikipedia.org
Marshallese Wikipedia (closed)		Closed	Marshallese	Latn	mh	mah			mh.wikipedia.org
Sichuan Yi Wikipedia (closed)		Closed	Nuosu	Yiii	ii	iii			ii.wikipedia.org
Hiri Motu Wikipedia (closed)		Closed	Hiri Motu	Latn	ho	hmo			ho.wikipedia.org
Northern Luri Wikipedia (locked)		Closed	"Northern Luri"	Arab	lrc	lrc			lrc.wikipedia.org
Muscogee Wikipedia (closed)		Closed	Muscogee	Latn	mus	mus			mus.wikipedia.org
Akan Wikipedia (closed)	Wikipidia Akan	Closed	Akan	Latn	ak	aka			ak.wikipedia.org
Norfuk Wikipedia (locked)	Norfuk Wikkapedya	Closed	"Norfuk"	Latn	pih	pih			pih.wikipedia.org
Nauruan Wikipedia (locked)	Wikipediya Naoero	Closed	"Nauruan"	Latn	na	nau			na.wikipedia.org
Afar Wikipedia (closed)		Closed	Afar	Latn	aa	aar			aa.wikipedia.org
Herero Wikipedia (closed)		Closed	Herero	Latn	hz	her			hz.wikipedia.org
Kanuri Wikipedia (closed)		Closed	Kanuri	Latn	kr	kau			kr.wikipedia.org
Wikipedia 10 (closed)	Wikipedia 10	Closed	English	Latn	ten	mis			ten.wikipedia.org
Test Wikipedia	Test Wikipedia	Closed	English	Latn	test	mis	0	0	test.wikipedia.org
Test2 Wikipedia	Test2 Wikipedia	Closed	English	Latn	test2	mis	0	0	test2.wikipedia.org
Nostalgia Wikipedia	Nostalgia Wikipedia	Closed	English	Latn	nostalgia	mis	0	0	nostalgia.wikipedia.org
Klingon Wikipedia (deleted)		Deleted	Klingon	Latn	tlh	tlh			tlh.wikipedia.org
Moldovan Wikipedia (deleted)		Deleted	Romanian (Moldovan)	Cyrl	mo	ron/mol			mo.wikipedia.org
September 11 Wiki (deleted)	September 11 Wiki	Deleted	English	Latn	sep11	mis			sep11.wikipedia.org
Siberian Wikipedia (deleted)		Deleted	fictitious "artificial Siberian language"	Cyrl	ru-sib	mis			ru-sib.wikipedia.org
Toki Pona Wikipedia (deleted)		Deleted	Toki Pona	Latn	tokipona	tok			tokipona.wikipedia.org
Wikipedia Afar	Qafár af	Incubator			aa	aar			incubator.wikimedia.org/wiki/Wp/aa
Wikipedia Arbëresh	Arbërisht	Incubator			aae	aae			incubator.wikimedia.org/wiki/Wp/aae
Wikipedia Abaza	абаза бызшва	Incubator			abq	abq			incubator.wikimedia.org/wiki/Wp/abq
Wikipedia Bono	Bron	Incubator			abr	abr			incubator.wikimedia.org/wiki/Wp/abr
Wikipedia Saint Lucian Creole	Kwéyòl	Incubator			acf	acf			incubator.wikimedia.org/wiki/Wp/acf
Wikipedia Acholi	Acoli	Incubator			ach	ach			incubator.wikimedia.org/wiki/Wp/ach
Wikipedia Mesopotamian Arabic	اللهجة العراقية	Incubator			acm	acm			incubator.wikimedia.org/wiki/Wp/acm
Wikipedia Adangme	Dangbe	Incubator			ada	ada			incubator.wikimedia.org/wiki/Wp/ada
Wikipedia Tunisian Arabic	تونسي / Tounsi	Incubator			aeb	aeb			incubator.wikimedia.org/wiki/Wp/aeb
Wikipedia Ahirani	खान्देशी	Incubator			ahr	ahr			incubator.wikimedia.org/wiki/Wp/ahr
Wikipedia Antiguan and Barbudan Creole	Aanteegan an' Baabyuudan	Incubator			aig	aig			incubator.wikimedia.org/wiki/Wp/aig
Wikipedia Assyrian Neo-Aramaic	ܣܘܪܝܬ	Incubator			aii	aii			incubator.wikimedia.org/wiki/Wp/aii
Wikipedia Ainu	アイヌ・イタㇰ / Aynu itak	Incubator			ain	ain			incubator.wikimedia.org/wiki/Wp/ain
Wikipedia Adja	Adja	Incubator			ajg	ajg			incubator.wikimedia.org/wiki/Wp/ajg
Wikipedia Judeo-Moroccan Arabic	מרוקאית יהודית	Incubator			aju	aju			incubator.wikimedia.org/wiki/Wp/aju
Wikipedia Akpa	Akweya	Incubator			akf	akf			incubator.wikimedia.org/wiki/Wp/akf
Wikipedia Anakalangu	akg	Incubator			akg	akg			incubator.wikimedia.org/wiki/Wp/akg
Wikipedia Aklanon	Akeanon	Incubator			akl	akl			incubator.wikimedia.org/wiki/Wp/akl
Wikipedia Araki	Soro-n Raki	Incubator			akr	akr			incubator.wikimedia.org/wiki/Wp/akr
Wikipedia Alabama	Albaamo innaaɬiilka	Incubator			akz	akz			incubator.wikimedia.org/wiki/Wp/akz
Wikipedia Aleut	Уна́ӈам тунуу́	Incubator			ale	ale			incubator.wikimedia.org/wiki/Wp/ale
Wikipedia Gheg Albanian	Gegnisht	Incubator			aln	aln			incubator.wikimedia.org/wiki/Wp/aln
Wikipedia Guerrero Amuzgo	Ñomndaa	Incubator			amu	amu			incubator.wikimedia.org/wiki/Wp/amu
Wikipedia Obolo	Andoni	Incubator			ann	ann	435	16	incubator.wikimedia.org/wiki/Wp/ann
Wikipedia Pemon	Arecuna	Incubator			aoc	aoc			incubator.wikimedia.org/wiki/Wp/aoc
Wikipedia Levantine Arabic	الـلَّـهْـجَـةُ الـشَّـامِـيَّـة	Incubator			apc	apc			incubator.wikimedia.org/wiki/Wp/apc
Wikipedia Western Apache	Ndee biyátiʼ	Incubator			apw	apw			incubator.wikimedia.org/wiki/Wp/apw
Wikipedia Archi	аршаттен чӏат	Incubator			aqc	aqc			incubator.wikimedia.org/wiki/Wp/aqc
Wikipedia Mapudungun	Mapudungun	Incubator			arn	arn			incubator.wikimedia.org/wiki/Wp/arn
Wikipedia Araona	Orqnchi'a Aqoana	Incubator			aro	aro			incubator.wikimedia.org/wiki/Wp/aro
Wikipedia Algerian Arabic	جازايريه	Incubator			arq	arq			incubator.wikimedia.org/wiki/Wp/arq
Wikipedia Najdi Arabic	اللهجة النجدية	Incubator			ars	ars			incubator.wikimedia.org/wiki/Wp/ars
Wikipedia American Sign	𝡌𝪪𝡌𝪢𝧫𝧻𝪤𝧫𝪨	Incubator			ase	ase			incubator.wikimedia.org/wiki/Wp/ase
Wikipedia Hadhrami Arabic	اللهجة الحضرمية	Incubator			ayh	ayh			incubator.wikimedia.org/wiki/Wp/ayh
Wikipedia Libyan Arabic	ليبي	Incubator			ayl	ayl			incubator.wikimedia.org/wiki/Wp/ayl
Wikipedia Balochi	بلوچی	Incubator			bal	bal			incubator.wikimedia.org/wiki/Wp/bal
Wikipedia Bamum	ꚶꛉ꛰꛲ꚫꛦꚳ	Incubator			bax	bax			incubator.wikimedia.org/wiki/Wp/bax
Wikipedia Ghomala'	Ghɔmálá’	Incubator			bbj	bbj			incubator.wikimedia.org/wiki/Wp/bbj
Wikipedia Central Bai	Bairt ngvrt zix	Incubator			bca	bca			incubator.wikimedia.org/wiki/Wp/bca
