ISO_639_3	Script	Base_Characters
cfm	Latin	ABCDEFGHIJKLMNOPRSTṬUVZabcdefghijklmnoprstṭuvz
cgg	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
cha	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÅÑabcdefghijklmnopqrstuvwxyzåñ
che	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
chj	Latin	ABCDEFGHIJKLMNOPRSTUËØabcdefghijklmnoprstuëø
chk	Latin	ACEFHIKMNOPRSTUWYÁÉÓÚacefhikmnoprstuwyáéóú
chr	Cherokee	ᎠᎡᎢᎣᎤᎥᎦᎧᎨᎩᎪᎫᎬᎭᎮᎯᎰᎱᎲᎳᎴᎵᎶᎷᎸᎹᎺᎻᎼᎽᎾᎿᏀᏁᏂᏃᏄᏅᏆᏇᏈᏉᏊᏋᏌᏍᏎᏏᏐᏑᏒᏓᏔᏕᏖᏗᏘᏙᏚᏛᏜᏝᏞᏟᏠᏡᏢᏣᏤᏥᏦᏧᏨᏩᏪᏫᏬᏭᏮᏯᏰᏱᏲᏳᏴꭰꭱꭲꭳꭴꭵꭶꭷꭸꭹꭺꭻꭼꭽꭾꭿꮀꮁꮂꮃꮄꮅꮆꮇꮈꮉꮊꮋꮌꮍꮎꮏꮐꮑꮒꮓꮔꮕꮖꮗꮘꮙꮚꮛꮜꮝꮞꮟꮠꮡꮢꮣꮤꮥꮦꮧꮨꮩꮪꮫꮬꮭꮮꮯꮰꮱꮲꮳꮴꮵꮶꮷꮸꮹꮺꮻꮼꮽꮾꮿᏸᏹᏺᏻᏼ
chu	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЮЄЅЏѤѨѬҀІЇѠѢѦѪѮѰѲѴѶѺѼѾꙀꙊꙌꙖꙂабвгдежзийклмнопрстуфхцчшщъыьюєѕџѥѩѭҁіїѡѣѧѫѯѱѳѵѷѻѽѿꙁꙋꙍꙗꙃ
chv	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҪӐӖӲабвгдежзийклмнопрстуфхцчшщъыьэюяёҫӑӗӳ
cic	Latin	ABCFGHIKLMNOPSTWYabcfghiklmnopstwy'
cic	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÉÍÓÚabcdefghijklmnopqrstuvwxyzáéíóú'
cim	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÀÈÉÌÒÓÔÖÙÜĆabcdefghijklmnopqrstuvwxyzäàèéìòóôöùüć
cji	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
cjk	Latin	ABCDEFGHIJKLMNOPQRSTUVWYZabcdefghijklmnopqrstuvwyz
cjs	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҒҚҢӦӰабвгдежзийклмнопрстуфхцчшщъыьэюяёғқңӧӱ
ckb	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇÊÎŞÛŁŇŘÜabcdefghijklmnopqrstuvwxyzçêîşûłňřü
ckb	Arabic	ابتجحخدرزسشعغفقلمنوپچڕژڤکگڵھۆیێە
cko	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyzŊŋƆƐɔɛ
ckt	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӃӇԒабвгдежзийклмнопрстуфхцчшщъыьэюяёӄӈԓ’
cme	Latin	ABCDEƐFGHIKLMNŊOƆPRSTUVWYabcdeɛfghiklmnŋoɔprstuvwyÃĨŨãĩũ
cmn	Latin	ABCDEFGHIJKLMNOPQRSTUWXYZabcdefghijklmnopqrstuwxyzüÜêÊĉŝẑŋĈŜẐŊāēīōūǖĀĒĪŌŪǕáéíóúǘếḿńÁÉÍÓÚǗẾḾŃǎěǐǒǔǚňǍĚǏǑǓǙŇàèìòùǜềǹÀÈÌÒÙǛỀǸ
cnh	Latin	ABCDEFGHIJKLMNOPRSTUVZṬabcdefghijklmnoprstuvzṭ
cnh	Burmese	ကခဂဃငစဆဇဈဉညဋဌဍဎဏတထဒဓနပဖဗဘမယရလဝသဣဤဥဦဧဩဪ
cni	Latin	ACEIJMNOPQRSTVWXYaceijmnopqrstvwxy'
cnr	Cyrillic	АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЂЈЉЊЋЏабвгдежзиклмнопрстуфхцчшђјљњћџ
cnr	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZĆČĐŚŠŹŽabcdefghijklmnopqrstuvwxyzćčđśšźž
cof	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÃẼĨŨƗÑabcdefghijklmnopqrstuvwxyzãẽĩũɨñʔ
con	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÑÛabcdefghijklmnopqrstuvwxyzñû’
coo	Latin	aeghiklmnopqstuwxyæčšƛǰɔəɛɩɬʊʔʷʸθχᶿꞭ
cor	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÂÊÎÔÀÈÌÒabcdefghijklmnopqrstuvwxyzâêîôàèìò
cos	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÀÂÈÌÏÜÒÙabcdefghijklmnopqrstuvwxyzàâèìïüòù
cot	Latin	ACEFGIJMNOPQRSTUVYÑacefgijmnopqrstuvy'ñ
cou	Latin	ABDEFGHIKLMNOPRSTUWXYabdefghiklmnoprstuwxyŊŋƆƎƐƝǝɔɛɲ
cpu	Latin	ACEIJMNOPRSTWYÑaceijmnoprstwyñ
crh	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁабвгдежзийклмнопрстуфхцчшщъыьэюяё
crh	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇÑÖÜĞŞabcdefghijklmnopqrstuvwxyzçñöüğşı
crs	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
csa	Latin	ABCDEFGHIJKLMNOPRSTUËØabcdefghijklmnoprstuëø
csb	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÃÉËÒÓÔÙĄĘŁŃŚŻabcdefghijklmnopqrstuvwxyzãéëòóôùąęłńśż
csw	Cree	ᐁᐃᐅᐊᐍᐏᐑᐓᐕᐘᐚᐤᐯᐱᐲᐳᐴᐸᐹᑊᑌᑎᑏᑐᑑᑕᑖᐟᑫᑭᑮᑯᑰᑲᑳᐠᒉᒋᒌᒍᒎᒐᒑᐨᒣᒥᒦᒧᒨᒪᒫᒼᓀᓂᓃᓄᓅᓇᓈᐣᓭᓯᓰᓱᓲᓴᓵᐢᔦᔨᔩᔪᔫᔭᔮᓬᕒᐦᐩᕁᑵ
ctd	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
ctg	Bengali	অআইঈউঊঋএঐওঔকখগঘঙচছজঝটঠডঢণতথদধনপফবভমযরলৱশষসহ
cym	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÀÁÂÄÈÉÊËÌÍÎÏÒÓÔÖÙÚÛÜÝŸŴŶẀẂẄỲabcdefghijklmnopqrstuvwxyzàáâäèéêëìíîïòóôöùúûüýÿŵŷẁẃẅỳ
dag	Latin	ABCDEFGHIJKLMNOPRSTUVWYZƐƔƗŊƆƷabcdefghijklmnoprstuvwyz'ɛɣɨŋɔʒ
dan	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÅÆØabcdefghijklmnopqrstuvwxyzåæø
dar	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӀабвгдежзийклмнопрстуфхцчшщъыьэюяёӏ
dav	Latin	ABCDEFGHIJKLMNOPRSTUVWYZabcdefghijklmnoprstuvwyz
ddn	Latin	ABCDEƐFGHIJKLMNŊOƆPRSTWYZÀÁĀÈÉĒÌÍĪÒÓŌÙÚŪabcdeɛfghijklmnŋoɔprstwyzàáāèéēìíīòóōùúū
ddo	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУХЦЧШЭӀабвгдежзийклмнопрстухцчшэӏ
deh	Arabic	ءأؤئابتثجحخدذرزسشصضطظعغفقلمنهوپچژکگی
deu	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÖÜabcdefghijklmnopqrstuvwxyzßäöü
deu	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÖÜabcdefghijklmnopqrstuvwxyzßäöü
deu	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÖÜabcdefghijklmnopqrstuvwxyzßäöü
dga	Latin	ABDEƐFGHIJKLMNOƆPRSTUVWYZabdeɛfghijklmnoɔprstuvwyz
dga	Latin	ABDEƐFGHIJKLMNŊOƆPRSTUVWYZabdeɛfghijklmnŋoɔprstuvwyz
dgi	Latin	ABƁCDEƐFGHIƖJKLMNŊOƆPRSTUƲVWYƳZabɓcdeɛfghiɩjklmnŋoɔprstuʋvwyƴzÀÈÌÒÙÁÉÍÓÚÃẼÕàèìòùáéíóúãẽõ
dgl	Coptic	ⲁⲃⲅⲇⲉⲍⲏⲓⲕⲗⲙⲛⲟⲡⲣⲥⲧⲩⲫⲭⲱⳡⳣⳝⳟϣϩϭ
dgl	Latin	ABCDEFGHIJKLMNOPRSTUWYZabcdefghijklmnoprstuwyz
dgo	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलवशषसहʼऽ‌‍
dgo	Arabic	ءابتثجحخدذرزسشصضطظعغفقلمنوٹپچڈڑژکگںھہی
dhv	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZËÖabcdefghijklmnopqrstuvwxyzëö
din	Latin	ABCDEƐGƔIKLMNŊOƆPRSTUWYÄËÏÖabcdeɛgɣiklmnŋoɔprstuwyäëïö
dip	Latin	ABCDEƐGƔIKLMNŊOƆPRSTUWYÄËÏÖabcdeɛgɣiklmnŋoɔprstuwyäëïö
diq	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÇÊÎÛÜŞǦabcdefghijklmnopqrstuvwxyzçêîûüİışǧ
div	Thaana	އކޅބރނށހޏގލތދފމވޗޖޕޔޓޒޑސޱ
dje	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZŊƝÀÁÃǍÍÕǑÔŠẼĚÊŽabcdefghijklmnopqrstuvwxyzŋɲàáãǎíõǒôšẽěêž
dlg	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҮҺӇӨҔабвгдежзийклмнопрстуфхцчшщъыьэюяёүһӈөҕ
dng	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁЎҖҢҮӘабвгдежзийклмнопрстуфхцчшщъыьэюяёўҗңүә
dno	Latin	ABDEFGHꞪIJKLMNŊOPRSTUVWYZabdefghɦijklmnŋoprstuvwyzÂÊÎÔÛÁÉÍÓŔŚÚÀÈÌÒÙǍĚǏǑŘŠǓâêîôûáéíóŕśúàèìòùǎěǐǒřšǔ
dop	Latin	ACEƐƎFHIƖKLMNŊOƆPƔSTUƱWYÁÉÚḾŃaceɛǝfhiɩklmnŋoɔpɣstuʊwyáéúḿń
dsb	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÓĆČĚŁŃŘŔŚŠŹŽabcdefghijklmnopqrstuvwxyzóćčěłńřŕśšźž
dty	Devanagari	अआइईउऊऋएऐओऔकखगघङचछजझञटठडढणतथदधनपफबभमयरलळवशषसह‌‍ऽ
dua	Latin	ABCDEFGIJKLMNOPRSTUWYÁÉÍÓÚŊŪƁƆƊƐabcdefgijklmnoprstuwyáéíóúŋūɓɔɗɛ
dya	Latin	ABƁCDƊEƐFGHIJKLMNƝOƆPRSTUVWYZabɓcdɗeɛfghijklmnɲoɔprstuvwyzÃẼĨÕŨãẽĩõũ
dyo	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYÁÉÍÑÓÚŊabcdefghijklmnopqrstuvwxyáéíñóúŋ
dyu	Latin	ABCDEƐFGHIJKLMNƝŊOƆPRSTUVWYZabcdeɛfghijklmnɲŋoɔprstuvwyz
dyu	N'Ko	ߐߏߎߍߌߋߊߙߘߗߖߕߔߓߡߟߞߝߜߛߚߒߦߥߤߣߢ
dzo	Tibetan	ཀཁགངཅཆཇཉཏཐདནཔཕབམཙཚཛཝཞཟའཡརལཤསཧཨཊཋཌཎཥ
ebu	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZĨŨabcdefghijklmnopqrstuvwxyzĩũ
efi	Latin	ABDEFGHIKMNOPRSTUWYabdefghikmnoprstuwyÑñỌọ
egy	Egyptian Hieroglyphs	𓀀𓀁𓀂𓀃𓀄𓀅𓀆𓀇𓀈𓀉𓀊𓀋𓀌𓀍𓀎𓀏𓀐𓀑𓀒𓀓𓀔𓀕𓀖𓀗𓀘𓀙𓀚𓀛𓀜𓀝𓀞𓀟𓀠𓀡𓀢𓀣𓀤𓀥𓀦𓀧𓀨𓀩𓀪𓀫𓀬𓀭𓀮𓀯𓀰𓀱𓀲𓀳𓀴𓀵𓀶𓀷𓀸𓀹𓀺𓀻𓀼𓀽𓀾𓀿𓁀𓁁𓁂𓁃𓁄𓁅𓁆𓁇𓁈𓁉𓁊𓁋𓁌𓁍𓁎𓁏𓁐𓁑𓁒𓁓𓁔𓁕𓁖𓁗𓁘𓁙𓁚𓁛𓁜𓁝𓁞𓁟𓁠𓁡𓁢𓁣𓁤𓁥𓁦𓁧𓁨𓁩𓁪𓁫𓁬𓁭𓁮𓁯𓁰𓁱𓁲𓁳𓁴𓁵𓁶𓁷𓁸𓁹𓁺𓁻𓁼𓁽𓁾𓁿𓂀𓂁𓂂𓂃𓂄𓂅𓂆𓂇𓂈𓂉𓂊𓂋𓂌𓂍𓂎𓂏𓂐𓂑𓂒𓂓𓂔𓂕𓂖𓂗𓂘𓂙𓂚𓂛𓂜𓂝𓂞𓂟𓂠𓂡𓂢𓂣𓂤𓂥𓂦𓂧𓂨𓂩𓂪𓂫𓂬𓂭𓂮𓂯𓂰𓂱𓂲𓂳𓂴𓂵𓂶𓂷𓂸𓂹𓂺𓂻𓂼𓂽𓂾𓂿𓃀𓃁𓃂𓃃𓃄𓃅𓃆𓃇𓃈𓃉𓃊𓃋𓃌𓃍𓃎𓃏𓃐𓃑𓃒𓃓𓃔𓃕𓃖𓃗𓃘𓃙𓃚𓃛𓃜𓃝𓃞𓃟𓃠𓃡𓃢𓃣𓃤𓃥𓃦𓃧𓃨𓃩𓃪𓃫𓃬𓃭𓃮𓃯𓃰𓃱𓃲𓃳𓃴𓃵𓃶𓃷𓃸𓃹𓃺𓃻𓃼𓃽𓃾𓃿𓄀𓄁𓄂𓄃𓄄𓄅𓄆𓄇𓄈𓄉𓄊𓄋𓄌𓄍𓄎𓄏𓄐𓄑𓄒𓄓𓄔𓄕𓄖𓄗𓄘𓄙𓄚𓄛𓄜𓄝𓄞𓄟𓄠𓄡𓄢𓄣𓄤𓄥𓄦𓄧𓄨𓄩𓄪𓄫𓄬𓄭𓄮𓄯𓄰𓄱𓄲𓄳𓄴𓄵𓄶𓄷𓄸𓄹𓄺𓄻𓄼𓄽𓄾𓄿𓅀𓅁𓅂𓅃𓅄𓅅𓅆𓅇𓅈𓅉𓅊𓅋𓅌𓅍𓅎𓅏𓅐𓅑𓅒𓅓𓅔𓅕𓅖𓅗𓅘𓅙𓅚𓅛𓅜𓅝𓅞𓅟𓅠𓅡𓅢𓅣𓅤𓅥𓅦𓅧𓅨𓅩𓅪𓅫𓅬𓅭𓅮𓅯𓅰𓅱𓅲𓅳𓅴𓅵𓅶𓅷𓅸𓅹𓅺𓅻𓅼𓅽𓅾𓅿𓆀𓆁𓆂𓆃𓆄𓆅𓆆𓆇𓆈𓆉𓆊𓆋𓆌𓆍𓆎𓆏𓆐𓆑𓆒𓆓𓆔𓆕𓆖𓆗𓆘𓆙𓆚𓆛𓆜𓆝𓆞𓆟𓆠𓆡𓆢𓆣𓆤𓆥𓆦𓆧𓆨𓆩𓆪𓆫𓆬𓆭𓆮𓆯𓆰𓆱𓆲𓆳𓆴𓆵𓆶𓆷𓆸𓆹𓆺𓆻𓆼𓆽𓆾𓆿𓇀𓇁𓇂𓇃𓇄𓇅𓇆𓇇𓇈𓇉𓇊𓇋𓇌𓇍𓇎𓇏𓇐𓇑𓇒𓇓𓇔𓇕𓇖𓇗𓇘𓇙𓇚𓇛𓇜𓇝𓇞𓇟𓇠𓇡𓇢𓇣𓇤𓇥𓇦𓇧𓇨𓇩𓇪𓇫𓇬𓇭𓇮𓇯𓇰𓇱𓇲𓇳𓇴𓇵𓇶𓇷𓇸𓇹𓇺𓇻𓇼𓇽𓇾𓇿𓈀𓈁𓈂𓈃𓈄𓈅𓈆𓈇𓈈𓈉𓈊𓈋𓈌𓈍𓈎𓈏𓈐𓈑𓈒𓈓𓈔𓈕𓈖𓈗𓈘𓈙𓈚𓈛𓈜𓈝𓈞𓈟𓈠𓈡𓈢𓈣𓈤𓈥𓈦𓈧𓈨𓈩𓈪𓈫𓈬𓈭𓈮𓈯𓈰𓈱𓈲𓈳𓈴𓈵𓈶𓈷𓈸𓈹𓈺𓈻𓈼𓈽𓈾𓈿𓉀𓉁𓉂𓉃𓉄𓉅𓉆𓉇𓉈𓉉𓉊𓉋𓉌𓉍𓉎𓉏𓉐𓉑𓉒𓉓𓉔𓉕𓉖𓉗𓉘𓉙𓉚𓉛𓉜𓉝𓉞𓉟𓉠𓉡𓉢𓉣𓉤𓉥𓉦𓉧𓉨𓉩𓉪𓉫𓉬𓉭𓉮𓉯𓉰𓉱𓉲𓉳𓉴𓉵𓉶𓉷𓉸𓉹𓉺𓉻𓉼𓉽𓉾𓉿𓊀𓊁𓊂𓊃𓊄𓊅𓊆𓊇𓊈𓊉𓊊𓊋𓊌𓊍𓊎𓊏𓊐𓊑𓊒𓊓𓊔𓊕𓊖𓊗𓊘𓊙𓊚𓊛𓊜𓊝𓊞𓊟𓊠𓊡𓊢𓊣𓊤𓊥𓊦𓊧𓊨𓊩𓊪𓊫𓊬𓊭𓊮𓊯𓊰𓊱𓊲𓊳𓊴𓊵𓊶𓊷𓊸𓊹𓊺𓊻𓊼𓊽𓊾𓊿𓋀𓋁𓋂𓋃𓋄𓋅𓋆𓋇𓋈𓋉𓋊𓋋𓋌𓋍𓋎𓋏𓋐𓋑𓋒𓋓𓋔𓋕𓋖𓋗𓋘𓋙𓋚𓋛𓋜𓋝𓋞𓋟𓋠𓋡𓋢𓋣𓋤𓋥𓋦𓋧𓋨𓋩𓋪𓋫𓋬𓋭𓋮𓋯𓋰𓋱𓋲𓋳𓋴𓋵𓋶𓋷𓋸𓋹𓋺𓋻𓋼𓋽𓋾𓋿𓌀𓌁𓌂𓌃𓌄𓌅𓌆𓌇𓌈𓌉𓌊𓌋𓌌𓌍𓌎𓌏𓌐𓌑𓌒𓌓𓌔𓌕𓌖𓌗𓌘𓌙𓌚𓌛𓌜𓌝𓌞𓌟𓌠𓌡𓌢𓌣𓌤𓌥𓌦𓌧𓌨𓌩𓌪𓌫𓌬𓌭𓌮𓌯𓌰𓌱𓌲𓌳𓌴𓌵𓌶𓌷𓌸𓌹𓌺𓌻𓌼𓌽𓌾𓌿𓍀𓍁𓍂𓍃𓍄𓍅𓍆𓍇𓍈𓍉𓍊𓍋𓍌𓍍𓍎𓍏𓍐𓍑𓍒𓍓𓍔𓍕𓍖𓍗𓍘𓍙𓍚𓍛𓍜𓍝𓍞𓍟𓍠𓍡𓍢𓍣𓍤𓍥𓍦𓍧𓍨𓍩𓍪𓍫𓍬𓍭𓍮𓍯𓍰𓍱𓍲𓍳𓍴𓍵𓍶𓍷𓍸𓍹𓍺𓍻𓍼𓍽𓍾𓍿𓎀𓎁𓎂𓎃𓎄𓎅𓎆𓎇𓎈𓎉𓎊𓎋𓎌𓎍𓎎𓎏𓎐𓎑𓎒𓎓𓎔𓎕𓎖𓎗𓎘𓎙𓎚𓎛𓎜𓎝𓎞𓎟𓎠𓎡𓎢𓎣𓎤𓎥𓎦𓎧𓎨𓎩𓎪𓎫𓎬𓎭𓎮𓎯𓎰𓎱𓎲𓎳𓎴𓎵𓎶𓎷𓎸𓎹𓎺𓎻𓎼𓎽𓎾𓎿𓏀𓏁𓏂𓏃𓏄𓏅𓏆𓏇𓏈𓏉𓏊𓏋𓏌𓏍𓏎𓏏𓏐𓏑𓏒𓏓𓏔𓏕𓏖𓏗𓏘𓏙𓏚𓏛𓏜𓏝𓏞𓏟𓏠𓏡𓏢𓏣𓏤𓏥𓏦𓏧𓏨𓏩𓏪𓏫𓏬𓏭𓏮𓏯𓏰𓏱𓏲𓏳𓏴𓏵𓏶𓏷𓏸𓏹𓏺𓏻𓏼𓏽𓏾𓏿𓐀𓐁𓐂𓐃𓐄𓐅𓐆𓐇𓐈𓐉𓐊𓐋𓐌𓐍𓐎𓐏𓐐𓐑𓐒𓐓𓐔𓐕𓐖𓐗𓐘𓐙𓐚𓐛𓐜𓐝𓐞𓐟𓐠𓐡𓐢𓐣𓐤𓐥𓐦𓐧𓐨𓐩𓐪𓐫𓐬𓐭𓐮
ekk	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÕÖÜŠŽabcdefghijklmnopqrstuvwxyzäõöüšž
eky	Kayah Li	꤀꤁꤂꤃꤄꤅꤆꤇꤈꤉ꤊꤋꤌꤍꤎꤏꤐꤑꤒꤓꤔꤕꤖꤗꤘꤙꤚꤛꤜꤝꤞꤟꤠꤡꤢꤣꤤꤥ꤮꤯
ell	Greek	ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩΆΈΉΊΌΎΏΪΫαβγδεζηθικλμνξοπρςστυφχψωάέήίόύώϊϋΐΰ
emk	Latin	ABCDEƐFGHIJKLMNƝŊOƆPRSTUVWYZabcdeɛfghijklmnɲŋoɔprstuvwyz
emk	N'Ko	ߐߏߎߍߌߋߊߙߘߗߖߕߔߓߡߟߞߝߜߛߚߒߦߥߤߣߢ
ems	Latin	ACEFGHIKLMNPRSTUWYacefghiklmnprstuwyʀ
enf	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҪӇԐабвгдежзийклмнопрстуфхцчшщъыьэюяёҫӈԑ
eng	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÆŒabcdefghijklmnopqrstuvwxyzæœ
eng	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÆŒabcdefghijklmnopqrstuvwxyzæœ
enh	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁҪӇԐабвгдежзийклмнопрстуфхцчшщъыьэюяёҫӈԑ
epo	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZĈĜĤĴŜŬabcdefghijklmnopqrstuvwxyzĉĝĥĵŝŭ
ese	Latin	BPDTKSJCMNYWÑbpdtksjcmnywñ
ess	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁЎҚҢҲҔабвгдежзийклмнопрстуфхцчшщъыьэюяёўқңҳҕ’
esu	Latin	ACGIKLMNPQRSTUVWYŃƏḾacgiklmnpqrstuvwyńəḿʼ
eus	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÑÜabcdefghijklmnopqrstuvwxyzñü
eve	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӇӨӪӢӮабвгдежзийклмнопрстуфхцчшщъыьэюяёӈөӫӣӯ
evn	Cyrillic	АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯЁӇӘабвгдежзийклмнопрстуфхцчшщъыьэюяёӈә
ewe	Latin	ABDEFGHIKLMNOPRSTUVWXYZÀÁÃÈÉÌÍÒÓÕÙÚĨŊŨƑƆƉƐƔƲẼabdefghiklmnoprstuvwxyzàáãèéìíòóõùúĩŋũƒɔɖɛɣʋẽ
ewo	Latin	ABDEFGHIKLMNOPRSTUVWYZÀÁÂÈÉÊÌÍÎÒÓÔÙÚÛĚŃŊǍǏǑǓǸƆƏƐabdefghiklmnoprstuvwyzàáâèéêìíîòóôùúûěńŋǎǐǒǔǹɔəɛ
fao	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÁÅÆÍÐÓØÚÝabcdefghijklmnopqrstuvwxyzáåæíðóøúý
fat	Latin	ABDEFGHIKMNOPRSTUWYZƐƆabdefghikmnoprstuwyzɛɔ
ffm	Latin	ABCDEFGHIJKLMNOPRSTUWYXŊƳƁƊƝabcdefghijklmnoprstuwyxŋƴɓɗɲ
fia	Coptic	ⲁⲃⲅⲇⲉⲍⲏⲓⲕⲗⲙⲛⲟⲡⲣⲥⲧⲩⲫⲭⲱⳡⳣⳝⳟϣϩϭ
fia	Latin	ABCDEFGHIJKLMNOPRSTUWYZabcdefghijklmnoprstuwyz
fij	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
fil	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÑabcdefghijklmnopqrstuvwxyzñ
fin	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÖÅabcdefghijklmnopqrstuvwxyzäöå
fkv	Latin	ABCDÐEFGHIJKLMNOPQRSŠTUVWXYZÄÖabcdðefghijklmnopqrsštuvwxyzäö
fmp	Latin	ABCDEFGHIJKLMNOPSTUVWYZabcdefghijklmnopstuvwyzÀÁÈÉÌÍÒÓÙÚàáèéìíòóùúĀāĒēĚěĪīŊŋŌōŪūƆƏǍǎǏǐǑǒǓǔɄɑɔəʉʼⱭ
fod	Latin	ABCDEƐFGHIƖJKLMNŊOƆPRSTUƱVWYZÁÉÍÓÚabcdeɛfghiɩjklmnŋoɔprstuʊvwyzáéíóú
fon	Latin	ABCDEFGIJKLMNOPRSTUVWXYZƉƐƆÀÁÈÉÌÍÒÓÙÚabcdefgijklmnoprstuvwxyzɖɛɔàáèéìíòóùú
fra	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÀÂÆÇÈÉÊËÎÏÔÙÛÜŸŒabcdefghijklmnopqrstuvwxyzàâæçèéêëîïôùûüÿœ
fry	Latin	ABCDEFGHIJKLMNOPQRSTUVWXYZÂÄÉÊËÏÔÖÚÛÜabcdefghijklmnopqrstuvwxyzâäéêëïôöúûü
fub	Latin	ABCDEFGHIJKLMNOPRSTUWYXŊƳƁƊabcdefghijklmnoprstuwyxŋƴɓɗ
fuc	Latin	ABCDEFGHIJKLMNOPRSTUWYXÑŊƳƁƊabcdefghijklmnoprstuwyxñŋƴɓɗ
fue	Latin	ABCDEFGHIJKLMNOPRSTUWYXŊƳƁƊƝabcdefghijklmnoprstuwyxŋƴɓɗɲ
fuf	Latin	ABCDEFGHIJKLMNOPRSTUWYŊƳƁƊƓƝabcdefghijklmnoprstuwyŋƴɓɗɠɲ
fuh	Latin	ABCDEFGHIJKLMNOPRSTUWYXŊƳƁƊƝabcdefghijklmnoprstuwyxŋƴɓɗɲ
fui	Latin	ABCDEFGHIJKLMNOPRSTUWYXŊƳƁƊabcdefghijklmnoprstuwyxŋƴɓɗ
