European Charter for Regional or Minority Languages
Source	https://www.coe.int/en/web/european-charter-regional-or-minority-languages/languages-covered
Status	24.09.2024

Language Code	Language Name	State Party	isoRegionCode	Locale Match	Notes	Level of protection under the Charter (Articles applying to the language concerned)
hbs/srp	Serbian	Slovenia	SI			Part II (Article 7)
hsb	Upper Sorbian	Germany	DE			Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Croatia	HR	FALSE		Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Austria	AT			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
hun	Hungarian	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Serbia	RS			Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Slovenia	SI			Part II (Article 7) and Part III (Articles 8-14)
hun	Hungarian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
hye	Armenian	Hungary	HU	FALSE		Part II (Article 7.5)
hye	Armenian	Cyprus	CY			Part II (Article 7.5)
hye	Armenian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
hye	Armenian	Romania	RO			Part II (Article 7)
ita	Italian	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Croatia	HR			Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Romania	RO			Part II (Article 7)
ita	Italian	Slovenia	SI			Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Switzerland	CH			Part II (Article 7) and Part III (Articles 8-14)
jct	Krimchak	Ukraine	UA			Part II (Article 7)
kdr	Karaim	Poland	PL	FALSE		Part II (Article 7) and Part III (Articles 8-14)
kdr	Karaim	Ukraine	UA			Part II (Article 7)
kmr	Yezidi	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Finland	FI	FALSE		Part II (Article 7.5)
kmr	Yezidi	Netherlands	NL	FALSE		Part II (Article 7.5)
kmr	Yezidi	Poland	PL	FALSE		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Romania	RO	FALSE		Part II (Article 7)
kmr	Yezidi	Slovakia	SK	FALSE		Part II (Article 7)
kmr	Yezidi	Sweden	SE	FALSE		Part II (Article 7.5)
kmr	Yezidi	Ukraine	UA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Armenia	AM			Part II (Article 7) and Part III (Articles 8-14)
krl	Karelian	Finland	FI	FALSE		Part II (Article 7.5)
kur	Kurdish	Armenia	AM			Part II (Article 7) and Part III (Articles 8-14)
lad	Ladino	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
lim	Limburgish	Netherlands	NL		"covers Northern Limburgish, Central and Southern Limburgish as well as Ripuarian/West Central German"	Part II (Article 7)
lit	Lithuanian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
mkd	Macedonian	Serbia	RS	FALSE		Part II (Article 7)
mkd	Macedonian	Romania	RO			Part II (Article 7)
mol	Moldovan	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
nds	Low German	Germany	DE			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
nds	Lower Saxon	Netherlands	NL			Part II (Article 7)
oci	Occitan [called Aranese]	Spain (in the Autonomous Community of Catalonia)	ES			Part II (Article 7) and Part III (Articles 8-14)
pap	Papiamento/Papiamentu	Netherlands	NL	FALSE		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
