# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
acw		Hejazi Arabic;Hijazi Arabic;Hijazi Spoken Arabic;Rashaida;Rashida;West Arabian Colloquial Arabic
acx		Omani Arabic;Omani Hadari Arabic;Omani Spoken Arabic
acy		Cypriot Arabic;Cypriot Maronite Arabic;Cypriot Spoken Arabic;Kormakiti;Maronite;Sanna
acy		Cypriot Arabic;Cypriot Maronite Arabic;Cypriot Spoken Arabic;Kormakiti;Maronite;Sanna
acy		Cypriot Arabic;Cypriot Maronite Arabic;Cypriot Spoken Arabic;Kormakiti;Maronite;Sanna
acz		Aceron;Achurun;Asheron;Garme
ada		Adangme;Adaŋgbi
adb		Adabe;Ataura;Atauro;Atauru;Raklu Un;Raklu-Un
add		Adere;Adiri;Arderi;Dzodinka;Dzodzinka
ade		Badre;Bedere;Bedire;Bidire;Bɛdɩrɛ;Gadre;Gidere;Gidire;Gɩdɩrɛ
adf		Dhofari;Dhofari Arabic;Dhofari Spoken Arabic;Zofari
adg		Andigibinha;Antekerrepenh;Antekerrepinhe
adh		Adhola;Badama;Dhopadhola;Ludama
adi		Abhor;Abor;Adi-Bokar;Bengni-Boga’er;Boga’er;Boga’er Luoba;Bokar;Bori-Karko;Bungni-Bogar;Lho-Pa;Lhoba;Luoba;Luoba, Boga’er;Miri
adi		Abhor;Abor;Adi;Adi-Bokar;Bengni-Boga’er;Boga’er;Boga’er Luoba;Bokar;Bori-Karko;Bungni-Bogar;Lho-Pa;Lhoba;Luoba;Miri
adj		Adjukru;Adyoukrou;Adyukru;Ajukru;Mojukru;Mↄjukru
adl		Adi;Adi-Gallong;Adi-Galo;Gallong;Galo;Galong
adn		Alor
ado		Adjora;Adjoria;Azao
adq		Adan;Adantonwi;Agotime;Dangbe
adr		Nusa Tadon;Sagu;Vaiverang;Waiwerang
ads		AdaSL
adt		Adynyamathanha;Ad’n’amadana;Anjimatana;Anjiwatana;Archualda;Atynyamatana;Benbakanjamata;Binbarnja;Gadjnjamada;Jandali;Kanjimata;Keydnjmarda;Mardala;Nimalda;Nuralda;Umbertana;Unyamootha;Wailbi;Wailpi;Waljbi;Wipie
adu		
adw		Amondawa;Amundawa
adx	pcr	Amdo;Amdo Tibetan;Anduo;Ngamdo;Panang
ady		Adyge;Adygei;Adygey;Adəgăbză;Cherkes;Kiakh;Kjax;Lower Circassian;Lowland Adyghe;West Circassian;Western Adyghe;Western Circassian
ady		Adyge;Adygei;Adygey;Adəgăbză;Cherkes;Kiakh;Kjax;Lower Circassian;Lowland Adyghe;West Circassian;Western Adyghe;Western Circassian
