European Charter for Regional or Minority Languages
Source	https://www.coe.int/en/web/european-charter-regional-or-minority-languages/languages-covered
Status	24.09.2024
										
Language Code	Language Name	State Party	isoRegionCode	Notes	Level of protection under the Charter (Articles applying to the language concerned)
gle	Irish	United Kingdom	gb		Part II (Article 7) and Part III (Articles 8-14)
ruo	Istro-Romanian	Croatia	hr		Part II (Article 7)
ita	Italian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Romania	ro		Part II (Article 7)
ita	Italian	Slovenia	si		Part II (Article 7) and Part III (Articles 8-14)
ita	Italian	Switzerland	ch		Part II (Article 7) and Part III (Articles 8-14)
kdr	Karaim	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
kdr	Karaim	Ukraine	ua		Part II (Article 7)
krl	Karelian	Finland	fi		Part II (Article 7.5)
csb	Kashub	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
jct	Krimchak	Ukraine	ua		Part II (Article 7)
kur	Kurdish	Armenia	am		Part II (Article 7) and Part III (Articles 8-14)
fkv	Kven/Finnish	Norway	no		Part II (Article 7)
lad	Ladino	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
rue/lemk1239	Lemko	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
ast	Leonese	Spain (in the Autonomous Community of Castille and Leon)	es		Part II (Article 7)
lim	Limburgish	Netherlands	nl	"covers Northern Limburgish, Central and Southern Limburgish as well as Ripuarian/West Central German"	Part II (Article 7)
lit	Lithuanian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
nds	Low German	Germany	de	same language	Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
nds	Lower Saxon	Netherlands	nl		Part II (Article 7)
dsb	Lower Sorbian	Germany	de		Part II (Article 7) and Part III (Articles 8-14)
smj	Lule Sami	Norway	no		Part II (Article 7) and Part III (Articles 8-14)
smj	Lule Sami	Sweden	se		Part II (Article 7) and Part III (Articles 8-14)
mkd	Macedonian	Romania	ro		Part II (Article 7)
mkd	Macedonian	Serbia	rs		Part II (Article 7)
glv	Manx Gaelic	United Kingdom	gb		Part II (Article 7) and Part III (Articles 8-14)
fit	Meänkieli	Sweden	se		Part II (Article 7) and Part III (Articles 8-14)
mol	Moldovan	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
frr	North Frisian	Germany	de		Part II (Article 7) and Part III (Articles 8-14)
oci	Occitan [called Aranese]	Spain (in the Autonomous Community of Catalonia)	es		Part II (Article 7) and Part III (Articles 8-14)
sme	North Sami	Finland	fi		Part II (Article 7) and Part III (Articles 8-14)
sme	North Sami	Norway	no		Part II (Article 7) and Part III (Articles 8-14)
sme	North Sami	Sweden	se		Part II (Article 7) and Part III (Articles 8-14)
pap	Papiamento/Papiamentu	Netherlands	nl		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
pol	Polish	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Czech Republic	cz		Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Hungary	hu		Part II (Article 7)
pol	Polish	Romania	ro		Part II (Article 7)
pol	Polish	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
pol	Polish	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
por	Portuguese	Spain (in the Autonomous Community of Extremadura)	es		Part II (Article 7)
	Romani (Romany, Romanes, Romani Chib, Roma language)	Austria	at	multiple languages	Part II (Article 7)
		Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
		Czech Republic	cz		Part II (Article 7)
		Finland	fi		Part II (Article 7.5)
		Germany	de		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
		Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
		Montenegro	me		Part II (Article 7) and Part III (Articles 8-14)
		Netherlands	nl		Part II (Article 7.5)
		Norway	no		Part II (Article 7)
		Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
		Romania	ro		Part II (Article 7)
		Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
		Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
		Slovenia	si		Part II (Article 7.5)
		Sweden	se		Part II (Article 7.5)
		Ukraine	ua		Part II (Article 7)
ron	Romanian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Croatia	hr		Part II (Article 7)
ron	Romanian	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
ron	Romanian	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
roh	Romansh	Switzerland	ch		Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Armenia	am		Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Finland	fi		Part II (Article 7.5)
rus	Russian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
rus	Russian	Slovakia	sk		Part II (Article 7)
rus	Russian	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Hungary	hu		Part II (Article 7)
rsk	Ruthenian	Romania	ro		Part II (Article 7)
rsk	Ruthenian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
rsk	Ruthenian	Ukraine	ua		Part II (Article 7)
stq	Sater Frisian	Germany	de		Part II (Article 7) and Part III (Articles 8-14)
sco	Scots	United Kingdom	gb		Part II (Article 7)
gla	Scottish-Gaelic	United Kingdom	gb		Part II (Article 7) and Part III (Articles 8-14)
hbs/srp	Serbian	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
hbs/srp	Serbian	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
hbs/srp	Serbian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
hbs/srp	Serbian	Slovakia	sk		Part II (Article 7)
hbs/srp	Serbian	Slovenia	si		Part II (Article 7)
sms	Skolt Sami	Finland	fi		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Austria	at		Part II (Article 7)
slk	Slovakian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Czech Republic	cz		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
slk	Slovakian	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
slv	Slovenian	Austria	at		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
slv	Slovenian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
slv	Slovenian	Croatia	hr		Part II (Article 7)
slv	Slovenian	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
sma	South Sami	Norway	no		Part II (Article 7) and Part III (Articles 8-14)
sma	South Sami	Sweden	se		Part II (Article 7)
swe	Swedish	Finland	fi		Part II (Article 7) and Part III (Articles 8-14)
tat	Tatar	Finland	fi		Part II (Article 7.5)
tat	Tatar	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
tat	Tatar	Romania	ro		Part II (Article 7)
tur	Turkish	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
tur	Turkish	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Armenia	am		Part II (Article 7)
ukr	Ukranian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Hungary	hu		Part II (Article 7.5)
ukr	Ukranian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
ukr	Ukranian	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
sco/ulst1239	Ulster Scots	United Kingdom	gb		Part II (Article 7)
hsb	Upper Sorbian	Germany	de		Part II (Article 7) and Part III (Articles 8-14)
rup	Vlach	Serbia	rs		Part II (Article 7)
cym	Welsh	United Kingdom	gb		Part II (Article 7) and Part III (Articles 8-14)
yec	Yenish	Switzerland	ch		Part II (Article 7)
kmr	Yezidi	Armenia	am		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Finland	fi		Part II (Article 7.5)
kmr	Yezidi	Netherlands	nl		Part II (Article 7.5)
kmr	Yezidi	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
kmr	Yezidi	Romania	ro		Part II (Article 7)
kmr	Yezidi	Slovakia	sk		Part II (Article 7)
kmr	Yezidi	Sweden	se		Part II (Article 7.5)
kmr	Yezidi	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
