Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
bbq	bama1251	Bamali			Latn	Vigorous	Stable	Emerging	0	10,800		nunm1234	Yes	
mrn	chek1238	Cheke Holo			Latn	Wider Communication	Stable	Emerging	0	10,800		east2452	Yes	
moe	mont1268	Montagnais	innu-aimun		Latn	Threatened	Endangered	Ascending	0	10,745	cre	cree1271	Yes, with caveat	Macrolanguage is not mutually intelligible
cnl	lala1270	Lalana Chinantec			Latn	Developing	Stable	Ascending	0	10,700		chin1489	Yes	
cpu	pich1237	Pichis Ashéninka			Latn	Threatened	Endangered	Emerging	0	10,700		ashe1271	Yes	
csy	siyi1240	Siyin Chin			Latn	Developing	Stable	Emerging	0	10,700		siza1239	Yes	
obo	obom1235	Obo Manobo			Latn	Educational	Endangered	Ascending	0	10,690		west2829	Yes	
ptn	pata1260	Patani			Latn	Vigorous	Endangered	Still	0	10,600		cent2270	Yes	
stp	sout2976	Southeastern Tepehuan			Latn	Developing	Stable	Ascending	0	10,600		sout2975	Yes	
xty	yolo1241	Yoloxochitl Mixtec			Latn	Threatened	Stable	Emerging	0	10,600		sout3401	Yes	
bzh	mapo1242	Mapos Buang			Latn	Developing	Endangered	Emerging	0	10,500		mapo1247	Yes	
dru	ruka1240	Rukai			Latn	Developing	Endangered	Ascending	0	10,500		aust1307	Yes	
fax	fala1241	Fala	Fala		Latn	Vigorous	Stable	Emerging	0	10,500		gali1263	Yes	
khj	kutu1262	Kuturmi			Latn	Vigorous	Stable	Still	0	10,500		kutu1268	Yes	
nlk	nini1235	Ninia Yali			Latn	Developing	Stable	Emerging	0	10,500		yali1257	Yes	
udl	wuzl1236	Wuzlam			Latn	Developing	Stable	Emerging	0	10,500		mada1300	Yes	
wdd	wand1266	Wandji			Latn	Vigorous	Stable	Still	0	10,500		ndja1235	Yes	
ptq	patt1247	Pattapu					Stable	Still	0	10,421		yeru1242	Yes	
acd	giky1238	Gikyode			Latn	Developing	Stable	Ascending	0	10,400		giky1241	Yes	
btf	birg1239	Birgit			Latn	Vigorous	Stable	Emerging	0	10,400		birg1240	Yes	
kni	kanu1277	Kanufi			Latn	Vigorous	Stable	Still	0	10,400		kanu1282	Yes	
kpt	kara1474	Karata			Cyrl	Vigorous	Endangered	Emerging	0	10,303		andi1254	Yes	
bjw	bakw1243	Bakwé			Latn	Vigorous	Stable	Emerging	0	10,300		bakw1242	Yes	
glu	gula1269	Gula (Chad)			Latn	Vigorous	Stable	Emerging	0	10,300		bayo1261	Yes	
rai	ramo1244	Ramoaaina			Latn	Educational	Stable	Emerging	0	10,300		kand1307	Yes	
fwe	fwee1238	Fwe			Latn	Vigorous	Stable	Emerging	0	10,200		zamb1244	Yes	
hik	seit1239	Seit-Kaitetu			Latn	Threatened	Endangered	Still	0	10,200		cent2289	Yes	
hub	huam1247	Huambisa			Latn	Developing	Stable	Ascending	0	10,200		huam1251	Yes	
krp	koro1304	Korop			Latn	Vigorous	Stable	Emerging	0	10,200		kion1241	Yes	
ndw	ndob1238	Ndobo			Latn	Vigorous	Stable	Still	0	10,200		libi1242	Yes	
smt	simt1238	Simte			Latn	Developing	Stable	Emerging	0	10,200		siza1239	Yes	
spr	sapa1251	Saparua	bahasa Saparua		Latn	Moribund	Endangered	Still	0	10,200		sapa1250	Yes	
scp	hela1238	Helambu Sherpa			Deva	Developing	Endangered	Ascending	0	10,166		yolm1234	Yes	
amk	amba1265	Ambai	bahasa Ambai		Latn	Threatened	Endangered	Ascending	0	10,100		ansu1238	Yes	
bot	bong1285	Bongo			Latn	Threatened	Stable	Ascending	0	10,100		sara1341	Yes	
cna	chan1309	Changthang			Tibt	Vigorous	Endangered	Emerging	0	10,100		kenh1234	Yes	
ifb	bata1298	Batad Ifugao			Latn	Developing	Stable	Ascending	0	10,100		bata1319	Yes	
kyf	kouy1238	Kouya			Latn	Developing	Stable	Ascending	0	10,100		east2416	Yes	
ncb	cent1990	Central Nicobarese			Latn	Developing	Stable	Emerging	0	10,100		cent2305	Yes	
aax	mand1444	Mandobo Atas			Latn	Vigorous	Endangered	Still	0	10,000		mand1473	Yes	
adb	adab1235	Adabe	Adabe		Latn	Vigorous	Stable	Still	0	10,000		book1242	Yes	
aed	arge1236	Argentine Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		deaf1237	Yes	
aen	arme1259	Armenian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		auxi1235	Yes	
aia	aros1241	Arosi			Latn	Developing	Institutional	Ascending	0	10,000		sanc1243	Yes	
alk	alak1253	Alak			Laoo	Vigorous	Stable	Still	0	10,000		west2399	Yes	
aot	aton1241	A'tong			Beng	Shifting	Endangered	Still	0	10,000		koch1249	Yes	
app	apma1240	Apma			Latn	Developing	Stable	Emerging	0	10,000		sout3188	Yes	
ayi	leyi1238	Leyigha			Latn	Vigorous	Stable	Still	0	10,000		leny1239	Yes	
baa	baba1268	Babatana			Latn	Developing	Stable	Emerging	0	10,000		sout3208	Yes	
bab	bain1259	Bainouk-Gunyuño			Latn	Vigorous	Endangered	Still	0	10,000		bain1264	Yes	
baw	bamb1266	Bambili-Bambui			Latn	Vigorous	Stable	Emerging	0	10,000		mank1258	Yes	
bbn	unea1237	Uneapa			Latn	Vigorous	Stable	Emerging	0	10,000		bali1280	Yes	
bcv	shoo1247	Shoo-Minda-Nye			Latn	Vigorous	Stable	Still	0	10,000		wurb1239	Yes	
bep	beso1237	Besoa	bahasa Behoa		Latn	Threatened	Endangered	Emerging	0	10,000		bada1260	Yes	
bhs	buwa1243	Buwal			Latn	Vigorous	Stable	Ascending	0	10,000		buwa1244	Yes	
bkk	brok1247	Brokskat			Tibt	Vigorous	Endangered	Still	0	10,000		shin1270	Yes	
bma	lame1257	Lame			Latn	Vigorous	Stable	Still	0	10,000		nige1254	Yes	
bmu	buru1306	Somba-Siawari			Latn	Educational	Stable	Emerging	0	10,000		koso1246	Yes	
bog	bama1249	Bamako Sign Language		Sign	Zxxx	Developing	Stable	Still	0	10,000		deaf1237	Yes	
bpx	paly1238	Palya Bareli			Deva	Vigorous	Stable	Emerging	0	10,000		rath1244	Yes	
bqh	baim1244	Baima				Threatened	Endangered	Still	0	10,000		east2771	Yes	
bqn	bulg1240	Bulgarian Sign Language	Български жестомимичен език	Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		cent2306	Yes	
brr	bira1254	Birao			Latn	Vigorous	Stable	Still	0	10,000		sout2854	Yes	
bui	bong1284	Bongili			Latn	Developing	Stable	Still	0	10,000		moki1244	Yes	
bvc	bael1237	Baelelea			Latn	Vigorous	Stable	Still	0	10,000		nort3284	Yes	
bvd	baeg1237	Baeggu			Latn	Vigorous	Stable	Emerging	0	10,000		nort3284	Yes	
bvl	boli1236	Bolivian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		west2886	Yes	
bvw	boga1251	Boga			Latn	Vigorous	Stable	Still	0	10,000		east2649	Yes	
bvy	bayb1234	Baybayanon			Latn	Vigorous	Stable	Emerging	0	10,000		sama1315	Yes	
bwz	bwis1242	Bwisi			Latn	Vigorous	Stable	Emerging	0	10,000		lumb1252	Yes	
byi	buyu1239	Buyu			Latn	Vigorous	Stable	Emerging	0	10,000		bemb1261	Yes	
bzz	evan1238	Evant			Latn	Vigorous	Stable	Emerging	0	10,000		tive1237	Yes	
cbn	nyah1250	Nyahkur			Thai	Shifting	Endangered	Emerging	0	10,000		moni1258	Yes	
ckm	chak1265	Chakavian			Latn		Endangered	Still	0	10,000		sout1528	Yes	
ckq	kaja1254	Kajakse			Latn	Vigorous	Stable	Emerging	0	10,000		mubi1247	Yes	
cmi	embe1262	Emberá-Chamí			Latn	Developing	Stable	Ascending	0	10,000		uppe1440	Yes	
cnr	mont1282	Montenegrin	crnogorski				Institutional	Ascending	0	10,000	hbs	east2821	Yes, with caveat	Some countries only group this as "Serbo-Croatian" and the member languages are largely intelligible but for political reasons they are separated. Try to categorize these separately if possible
csf	cuba1235	Cuba Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		deaf1237	Yes	
dbj	idaa1241	Ida'an			Latn	Vigorous	Endangered	Emerging	0	10,000		nort3172	Yes	
deg	dege1246	Degema			Latn	Vigorous	Stable	Still	0	10,000		dege1249	Yes	
deq	dend1242	Dendi (Central African Republic)			Latn	Vigorous	Stable	Still	0	10,000		nucl1737	Yes	
dgs	dogo1294	Dogoso			Latn	Threatened	Stable	Emerging	0	10,000		dogo1293	Yes	
dgu	dega1238	Degaru				Vigorous			0	10,000		book1242	Probably not	Declared Non-existent from ISO but some sources attest it
dkg	vagh1248	Kadung			Latn		Stable	Still	0	10,000		vagh1250	Yes	
dma	duma1253	Duma			Latn	Vigorous	Stable	Still	0	10,000		ndja1235	Yes	
dmx	dema1235	Dema			Latn	Vigorous	Endangered	Still	0	10,000		unun9914	Yes	
doq	domi1236	Dominican Sign Language		Sign	Zxxx	Developing	Stable	Still	0	10,000		amer1258	Yes	
drt	dren1238	Drents			Latn	Developing	Stable	Emerging	0	10,000		west2356	Yes	
dwk	dawi1234	Dawik Kui			Orya		Stable	Emerging	0	10,000		pend1244	Yes	
dwz	dhan1265	Dewas Rai			Deva		Endangered	Still	0	10,000		kusw1234	Yes	
egm	bena1274	Benamanga			Latn		Stable	Still	0	10,000		bena1262	Yes	
eja	ejam1238	Ejamat			Latn	Vigorous	Endangered	Emerging	0	10,000		here1250	Yes	
emb	emba1238	Embaloh	bahasa Embaloh		Latn	Developing	Endangered	Still	0	10,000		tama1334	Yes	
emz	mbes1239	Mbessa			Latn		Stable	Still	0	10,000		komk1239	Yes	
far	fata1245	Fataleka			Latn	Vigorous	Stable	Emerging	0	10,000		nort3284	Yes	
fer	fero1244	Feroge			Latn	Shifting	Endangered	Still	0	10,000		fero1243	Yes	
fif	faif1234	Faifi			Latn		Stable	Still	0	10,000		mode1270	Yes	
fpe	fern1234	Fernando Po Creole English			Latn	Wider Communication	Institutional	Emerging	0	10,000		west2851	Yes	
frr	nort2626	North Frisian	Nordfriisk	Spoken & Written	Latn	Shifting	Endangered	Ascending	0	10,000		fris1239	Yes	
gek	yiwo1237	Yiwom			Latn	Vigorous	Stable	Emerging	0	10,000		anga1311	Yes	
gha	ghad1239	Ghadamès			Arab	Threatened	Endangered	Emerging	0	10,000		berb1260	Yes	
gho	ghom1257	Ghomara			Tfng	Vigorous	Endangered	Emerging	0	10,000		nort3248	Yes	
ghr	gher1238	Ghera			Arab	Vigorous	Stable	Still	0	10,000		gher1240	Yes	
gii	giri1245	Girirra					Endangered	Still	0	10,000		east2653	Yes	
gus	guin1250	Guinean Sign Language		Sign	Zxxx	Developing	Stable	Still	0	10,000		asli1244	Yes	
hbn	heib1243	Heiban			Latn	Shifting	Endangered	Emerging	0	10,000		eban1242	Yes	
hca	anda1280	Andaman Creole Hindi				Vigorous	Stable	Emerging	0	10,000		hind1270	Yes	
hkh	khah1234	Khah			Arab		Stable	Still	0	10,000		kash1285	Yes	
hma	sout1556	Southern Mashan Miao			Latn	Vigorous	Endangered	Emerging	0	10,000	hmn	mash1238	Possibly	But probably want to use macrolanguage
hng	hung1280	Hungu			Latn		Endangered	Still	0	10,000		sout3354	Yes	
hps	hawa1235	Hawai'i Pidgin Sign Language	Hoailona ʻŌlelo o Hawaiʻi	Sign	Zxxx	Nearly Extinct	Endangered	Still	0	10,000		deaf1237	Yes	
hsl	haus1246	Hausa Sign Language	Maganar hannu	Sign	Zxxx	Vigorous	Stable	Still	0	10,000		deaf1237	Yes	
ibe	akpe1248	Akpes			Latn	Vigorous	Stable	Still	0	10,000		akpe1249	Yes	
ibn	ibin1241	Ibino			Latn	Vigorous	Stable	Still	0	10,000		ibin1242	Yes	
ifm	teke1274	Teke-Fuumu			Latn	Vigorous	Endangered	Still	0	10,000		inte1264	Yes	
ihi	ihie1238	Ihievbe			Latn	Vigorous	Stable	Still	0	10,000		book1242	Yes	
imt	imot1234	Imotong			Latn		Stable	Still	0	10,000		lang1322	Yes	
ino	inok1238	Inoke-Yate			Latn	Developing	Stable	Emerging	0	10,000		kama1374	Yes	
irr	irrr1240	Ir				Vigorous	Stable	Still	0	10,000		book1242	Yes	
iry	iray1237	Iraya			Latn	Developing	Stable	Emerging	0	10,000		nort2873	Yes	
ise	ital1275	Italian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		ital1288	Yes	
isg	iris1235	Irish Sign Language	Teanga Chomharthaíochta na hÉireann	Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		lsfi1234	Yes	
isr	isra1236	Israeli Sign Language		Sign	Zxxx	Developing	Stable	Emerging	0	10,000		dgsi1234	Yes	
iyx	yaka1274	Yaka (Congo)			Latn	Vigorous	Stable	Emerging	0	10,000		laal1244	Yes	
jaq	yaqa1246	Yaqay			Latn	Threatened	Endangered	Still	0	10,000		yaqa1245	Yes	
jbm	biji1246	Bijim			Latn		Stable	Still	0	10,000		vagh1250	Yes	
jim	jimi1254	Jimi (Cameroon)			Latn	Developing	Stable	Emerging	0	10,000		gude1248	Yes	
jiu	youl1235	Youle Jinuo			Latn	Threatened	Endangered	Still	0	10,000		jino1236	Yes	
job	joba1238	Joba			Latn	Vigorous	Endangered	Emerging	0	10,000		fuli1242	Yes	
jos	jord1238	Jordanian Sign Language	لغة الإشارة الأردنية	Sign	Zxxx	Developing	Stable	Still	0	10,000		leva1240	Yes	
kbx	apma1241	Ap Ma			Latn	Developing	Stable	Emerging	0	10,000		east2864	Yes	
kci	kama1358	Kamantan			Latn	Vigorous	Stable	Still	0	10,000		gyon1234	Yes	
kem	kema1243	Kemak	bahasa Kemak		Latn	Vigorous	Stable	Emerging	0	10,000		west2547	Yes	
kjy	erav1244	Erave			Latn	Developing	Stable	Emerging	0	10,000		sout3252	Yes	
kke	kaka1265	Kakabe			Latn	Threatened	Endangered	Still	0	10,000		mixi1243	Yes	
knp	kwan1276	Kwanja			Latn	Developing	Stable	Emerging	0	10,000		konj1252	Yes	
kog	cogu1240	Kogi			Latn	Vigorous	Stable	Emerging	0	10,000		arhu1241	Yes	
kps	tehi1237	Tehit			Latn	Threatened	Endangered	Emerging	0	10,000		sout1499	Yes	
kpw	kobo1249	Kobon			Latn	Educational	Stable	Emerging	0	10,000		kala1404	Yes	
ksq	kwaa1269	Kwaami			Latn	Vigorous	Stable	Still	0	10,000		kwam1256	Yes	
kth	kara1484	Karanga			Latn	Threatened	Endangered	Emerging	0	10,000		nucl1441	Yes	
kvb	kubu1239	Kubu	bahasa Kubu		Latn	Threatened	Endangered	Still	0	10,000	msa	cent2391	Possibly	But probably want to use macrolanguage
kvk	kore1273	Korean Sign Language	한국 수화 언어	Sign	Zxxx	Educational	Institutional	Emerging	0	10,000		jsli1234	Yes	
kwj	kwan1278	Kwanga			Latn	Developing	Stable	Emerging	0	10,000		kwan1286	Yes	
kwu	kwak1266	Kwakum			Latn	Vigorous	Stable	Emerging	0	10,000		maka1327	Yes	
kxf	manu1255	Manumanaw Karen			Mymr	Vigorous	Stable	Ascending	0	10,000		kaya1316	Yes	
kxl	nepa1253	Nepali Kurux				Threatened			0	10,000	kru	kuru1301	No	ISO merged this into kru
kyt	kaya1328	Kayagar			Latn	Threatened	Endangered	Still	0	10,000		kayg1237	Yes	
kzg	kika1239	Kikai	シマユミタ			Shifting	Endangered	Emerging	0	10,000		amam1245	Yes	
lbg	laop1234	Laopang				Vigorous	Stable	Still	0	10,000		book1242	Yes	
ldj	lemo1242	Lemoro			Latn	Vigorous	Stable	Still	0	10,000		lemo1244	Yes	
ldl	kaan1247	Kaan			Latn	Vigorous	Stable	Still	0	10,000		bena1258	Yes	
lev	lamm1241	Lamma	bahasa Lamma		Latn	Vigorous	Stable	Still	0	10,000		west2994	Yes	
lgl	wala1266	Wala			Latn	Developing	Stable	Emerging	0	10,000		nort2833	Yes	
lgn	opuu1239	Opuuo			Latn	Vigorous	Stable	Emerging	0	10,000		dana1255	Yes	
lgo	lang1343	Lango (South Sudan)			Latn		Stable	Emerging	0	10,000		lang1322	Yes	
liz	libi1244	Libinza			Latn	Vigorous	Stable	Still	0	10,000		libi1252	Yes	
lje	ramp1243	Rampi			Latn	Threatened	Endangered	Emerging	0	10,000		ramp1244	Yes	
llp	nort2836	North Efate			Latn	Developing	Stable	Emerging	0	10,000		nort3222	Yes	
lmk	lamk1238	Lamkang			Latn	Developing	Stable	Ascending	0	10,000		anal1240	Yes	
loo	lomb1260	Lombo			Latn	Vigorous	Stable	Emerging	0	10,000		kele1265	Yes	
lou	loui1240	Louisiana Creole French	Kouri-Vini		Latn	Shifting	Endangered	Ascending	0	10,000		circ1240	Yes	
lqr	logi1239	Logir			Latn		Stable	Still	0	10,000		lang1322	Yes	
lsb	buru1325	Burundian Sign Language		Sign	Zxxx		Stable	Emerging	0	10,000		amer1248	Yes	
lso	laos1235	Laos Sign Language		Sign	Zxxx	Vigorous	Stable	Still	0	10,000		book1242	Yes	
lth	labw1238	Thur			Latn		Stable	Still	0	10,000		acol1236	Yes	
lur	laur1249	Laura	bahasa Laura		Latn	Vigorous	Stable	Still	0	10,000		weje1237	Yes	
lvl	lwel1234	Lwel			Latn		Stable	Still	0	10,000		lwer1234	Yes	
lws	mala1549	Malawian Sign Language		Sign	Zxxx		Stable	Emerging	0	10,000		deaf1237	Yes	
mbf	baba1267	Baba Malay			Latn	Shifting	Endangered	Emerging	0	10,000		vehi1234	Yes	
mcq	esee1247	Ese			Latn	Developing	Stable	Emerging	0	10,000		bara1376	Yes	
meq	mere1246	Merey			Latn	Developing	Stable	Ascending	0	10,000		dugw1240	Yes	
mew	maak1236	Maaka			Latn	Vigorous	Stable	Still	0	10,000		unun9876	Yes	
mih	chay1249	Chayuco Mixtec			Latn	Threatened	Endangered	Ascending	0	10,000		east2746	Yes	
mip	apas1235	Apasco-Apoala Mixtec			Latn	Threatened	Endangered	Emerging	0	10,000		nort3198	Yes	
mjb	makl1245	Makalero			Latn		Stable	Emerging	0	10,000		maka1316	Yes	
mlw	molo1266	Moloko			Latn	Developing	Stable	Ascending	0	10,000		toko1243	Yes	
mps	dadi1250	Dadibi			Latn	Developing	Stable	Emerging	0	10,000		tebe1251	Yes	
mqu	mand1425	Mandari			Latn	Developing	Stable	Emerging	0	10,000		bari1283	Yes	
msr	mong1264	Mongolian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		nucl1824	Yes	
mvd	mamb1305	Mamboru	bahasa Mamboru		Latn	Vigorous	Stable	Still	0	10,000		kamb1320	Yes	
mvm		Muya				Threatened			0	10,000			Probably not	Split into separate language codes
mvo	maro1244	Marovo			Latn	Wider Communication	Stable	Emerging	0	10,000		maro1247	Yes	
mzy	moza1235	Mozambican Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		deaf1237	Yes	
ncq	nort3270	Northern Katang			Laoo		Stable	Emerging	0	10,000		kata1264	Yes	
ndx	ndug1245	Nduga			Latn	Developing	Endangered	Emerging	0	10,000		ngal1299	Yes	
ngw	ngwa1251	Ngwaba			Latn	Moribund	Endangered	Still	0	10,000		bium1271	Yes	
nit	sout1549	Southeastern Kolami			Telu	Vigorous	Endangered	Emerging	0	10,000		kola1242	Yes	
nkv	nyik1246	Nyika (Malawi and Zambia)			Latn	Vigorous	Stable	Still	0	10,000		cent2285	Yes	
nml	ndem1249	Ndemli			Latn	Vigorous	Stable	Emerging	0	10,000		narr1282	Yes	
nnn	nget1241	Ngete			Latn	Vigorous	Stable	Emerging	0	10,000		hede1234	Yes	
nnz	ndan1241	Nda'nda'			Latn	Developing	Stable	Emerging	0	10,000		east2862	Yes	
nsi	nige1240	Nigerian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		amer1258	Yes	
nyr	nyih1239	Nyiha (Malawi)			Latn	Vigorous	Endangered	Still	0	10,000		mboz1234	Yes	
ofu	efut1242	Efutop			Latn	Vigorous	Stable	Emerging	0	10,000		ndee1247	Yes	
ogg	ogbo1242	Ogbogolo			Latn	Vigorous	Stable	Still	0	10,000		uncl1542	Yes	
oie	okol1243	Okolie			Latn		Stable	Still	0	10,000		dong1301	Yes	
okc	ikum1241	Kobo			Latn		Stable	Emerging	0	10,000		nyan1304	Yes	
ola	walu1241	Walungge			Deva	Threatened	Endangered	Emerging	0	10,000		sout3216	Yes	
olu	kuva1244	Kuvale			Latn		Stable	Emerging	0	10,000		cimb1239	Yes	
otn	tena1241	Tenango Otomi			Latn	Developing	Stable	Emerging	0	10,000	oto	east2737	Yes	
otr	otor1240	Otoro			Latn	Developing	Endangered	Emerging	0	10,000		eban1241	Yes	
oub	glio1241	Glio-Oubi			Latn	Vigorous	Endangered	Emerging	0	10,000		guer1244	Yes	
pbc	pata1262	Patamona			Latn	Threatened	Stable	Emerging	0	10,000		kapo1251	Yes	
peg	peng1244	Pengo			Orya	Vigorous	Stable	Emerging	0	10,000		mand1412	Yes	
pex	peta1245	Petats			Latn	Wider Communication	Endangered	Emerging	0	10,000		buka1262	Yes	
pez	east2485	Eastern Penan			Latn	Threatened	Endangered	Still	0	10,000		pena1271	Yes	
pfl	pala1330	Pfaelzisch	Pälzisch	Spoken & Written	Latn	Vigorous	Stable	Ascending	0	10,000		pala1355	Yes	
phh	phuk1235	Phukha			Latn	Threatened	Endangered	Still	0	10,000		hlep1235	Yes	
phl	phal1254	Phalura	پالُولہ		Arab	Vigorous	Stable	Ascending	0	10,000		palu1255	Yes	
phm	phim1238	Phimbi			Latn	Vigorous	Endangered	Emerging	0	10,000		sena1270	Yes	
ple	palu1252	Palu'e	bahasa Palue		Latn	Vigorous	Endangered	Emerging	0	10,000		ngad1265	Yes	
pnd	mpin1234	Mpinda			Latn		Endangered	Still	0	10,000		mbun1247	Yes	
prl	peru1235	Peruvian Sign Language		Sign	Zxxx	Developing	Stable	Emerging	0	10,000		peru1236	Yes	
psc	pers1244	Persian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		deaf1237	Yes	
pze	polc1243	Pesse			Latn		Stable	Still	0	10,000		polc1245	Yes	
qvo	napo1242	Napo Lowland Quechua			Latn	Developing	Stable	Ascending	0	10,000	colo1257	orie1242	Possibly	But probably want to use macrolanguage
qvz	nort2973	Northern Pastaza Quichua			Latn	Threatened	Endangered	Ascending	0	10,000	colo1257	past1249	Possibly	But probably want to use macrolanguage
qxa	chiq1249	Chiquián Ancash Quechua			Latn	Shifting	Endangered	Emerging	0	10,000	que	apam1237	Possibly	But probably want to use macrolanguage
qxt	sant1433	Santa Ana de Tusi Pasco Quechua			Latn	Vigorous	Endangered	Emerging	0	10,000	que	yana1272	Possibly	But probably want to use macrolanguage
rms	roma1324	Romanian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		cent2306	Yes	
rsk	pann1240	Ruthenian	Руски	Spoken & Written	Cyrl		Institutional	Emerging	0	10,000		rusy1239	Yes	
rsn	rwan1246	Rwandan Sign Language		Sign	Zxxx		Stable	Emerging	0	10,000		unun9986	Yes	
ryn	nort2935	Northern Amami-Oshima				Shifting	Endangered	Emerging	0	10,000		oshi1235	Yes	
sct	sout3251	Southern Katang			Laoo		Stable	Emerging	0	10,000		kata1264	Yes	
sdl	saud1238	Saudi Arabian Sign Language		Sign	Zxxx	Vigorous	Stable	Ascending	0	10,000		arab1398	Yes	
sdq	nucl1557	Semandang	bahasa Kualan-Semandang		Latn		Stable	Still	0	10,000		sema1269	Yes	
sea	sema1266	Semai			Latn	Developing	Institutional	Ascending	0	10,000		seno1278	Yes	
sgi	suga1248	Suga			Latn	Vigorous	Endangered	Emerging	0	10,000		niza1234	Yes	
sgs	samo1265	Samogitian	Žemaitiu ruoda	Spoken & Written	Latn		Stable	Ascending	0	10,000		lith1251	Yes	
sgx	sier1246	Sierra Leone Sign Language		Sign	Zxxx	Vigorous	Stable	Still	0	10,000		asli1244	Yes	
smv	samv1238	Samvedi				Vigorous	Stable	Still	0	10,000		mode1268	Yes	
soy	miyo1238	Miyobe			Latn	Developing	Endangered	Ascending	0	10,000		uncl1526	Yes	
sqo	sork1239	Sorkhei			Arab	Vigorous	Stable	Still	0	10,000		komi1276	Yes	
ssq	cent2074	So'a	bahasa So'a		Latn	Vigorous	Stable	Still	0	10,000		ngad1261	Yes	
sty	sibe1250	Siberian Tatar			Cyrl		Stable	Ascending	0	10,000		nort2696	Yes	
svk	slov1263	Slovakian Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		nucl1839	Yes	
szb	ngal1298	Ngalum	bahasa Ngalum		Latn	Developing	Stable	Emerging	0	10,000		okkk1242	Yes	
tal	tall1250	Tal			Latn	Vigorous	Stable	Emerging	0	10,000		tali1264	Yes	
tbk	cala1258	Calamian Tagbanwa			Tagb	Developing	Stable	Ascending	0	10,000		kala1389	Yes	
tgr	tare1239	Tareng				Vigorous	Stable	Still	0	10,000		book1242	Yes	
thc	taih1245	Tai Hang Tong				Vigorous			0	10,000	tpo	book1242	No	ISO merged this into tpo
tja	taju1238	Tajuasohn			Latn	Vigorous	Stable	Emerging	0	10,000		klao1242	Yes	
tpo	taip1250	Tai Pao				Vigorous	Stable	Still	0	10,000		taim1254	Yes	
tsl	tsun1242	Ts'ün-Lao			Latn	Vigorous	Stable	Still	0	10,000		wenm1239	Yes	
tsm	turk1288	Turkish Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		deaf1237	Yes	
tsr	akei1237	Akei			Latn	Vigorous	Stable	Still	0	10,000		west2845	Yes	
ttb	gaaa1245	Gaa			Latn	Vigorous	Stable	Still	0	10,000		tiba1234	Yes	
twd	twen1241	Twents			Latn	Developing	Stable	Emerging	0	10,000		west2356	Yes	
txa	tomb1244	Tombonuo			Latn	Threatened	Endangered	Emerging	0	10,000		pait1248	Yes	
txx	tata1257	Tatana			Latn	Threatened	Endangered	Still	0	10,000		grea1294	Yes	
uda	udaa1238	Uda			Latn	Vigorous	Stable	Still	0	10,000		enwa1244	Yes	
ugn	ugan1238	Ugandan Sign Language		Sign	Zxxx	Developing	Stable	Emerging	0	10,000		asli1244	Yes	
ukv	kuku1285	Kuku			Latn		Endangered	Still	0	10,000		nucl1796	Yes	
ulb	uluk1257	Ulukwumi			Latn	Vigorous	Stable	Still	0	10,000		nucl1747	Yes	
usk	usag1244	Usaghade			Latn	Threatened	Endangered	Emerging	0	10,000		nucl1838	Yes	
utr	etul1245	Etulo			Latn	Vigorous	Stable	Emerging	0	10,000		etul1246	Yes	
vem	vemg1240	Vemgo-Mabas			Latn	Vigorous	Stable	Emerging	0	10,000		lama1287	Yes	
vin	vinz1238	Vinza			Latn	Vigorous			0	10,000		rwan1241	Yes	
vkz	koro1324	Koro Zuba			Latn		Stable	Still	0	10,000		nupo1239	Yes	
vsl	vene1237	Venezuelan Sign Language		Sign	Zxxx	Vigorous	Stable	Emerging	0	10,000		span1269	Yes	
wkb	kumb1267	Kumbaran				Threatened	Endangered	Still	0	10,000		book1242	Yes	
wle	wola1253	Wolane			Ethi	Vigorous	Stable	Emerging	0	10,000		silt1239	Yes	
wmg	west2417	Western Minyag					Endangered	Still	0	10,000		muya1239	Yes	
wnk	wanu1241	Wanukaka			Latn	Vigorous	Stable	Emerging	0	10,000		cent2307	Yes	
wtb	mata1313	Matambwe			Latn		Stable	Still	0	10,000		mako1251	Yes	
xao	khao1244	Khao			Latn	Vigorous	Stable	Still	0	10,000		book1242	Yes	
xdq	kajt1238	Kaitag			Cyrl		Stable	Emerging	0	10,000		sout3260	Yes	
xku	kaam1238	Kaamba			Latn	Vigorous	Endangered	Still	0	10,000		kamb1322	Yes	
