Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
gso	sout2785	Southwest Gbaya			Latn	Developing	Stable	Emerging	0	220,000	gba	gbay1284	Possibly	But probably want to use macrolanguage
mzv	manz1243	Manza			Latn	Vigorous	Stable	Emerging	0	220,000		manz1242	Yes	
nxd	ngan1302	Ngando (DRC)			Latn	Vigorous	Stable	Emerging	0	220,000		lomo1242	Yes	
sav	saaf1238	Saafi-Saafi			Latn	Developing	Stable	Ascending	0	220,000		saaf1239	Yes	
tod	toma1245	Toma			Latn	Educational	Stable	Ascending	0	220,000		loma1259	Yes	
mpg	marb1239	Marba			Latn	Developing	Stable	Ascending	0	218,000		marb1245	Yes	
zag	zagh1240	Zaghawa			Latn	Vigorous	Stable	Emerging	0	218,000		east2432	Yes	
zga	nucl1379	Kinga			Latn	Vigorous	Stable	Ascending	0	217,000		king1258	Yes	
kxd	brun1242	Brunei			Latn	Wider Communication	Institutional	Emerging	0	215,000	msa	brun1246	Possibly	But probably want to use macrolanguage
ngp	ngul1246	Ngulu			Latn	Vigorous	Stable	Emerging	0	215,000		zigu1243	Yes	
ssy	saho1246	Saho	Saho		Latn	Developing	Institutional	Ascending	0	214,943		saho1245	Yes	
ayc	sout2996	Southern Aymara			Latn	Vigorous	Stable	Ascending	0	213,000	aym	nucl1667	Possibly	But probably want to use macrolanguage
ywt	xish1235	Xishanba Lalo				Threatened	Endangered	Still	0	213,000		cent2297	Yes	
xsq	makh1266	Makhuwa-Saka			Latn	Vigorous	Stable	Still	0	212,000		maku1279	Yes	
lun	lund1266	Lunda	chiLunda		Latn	Educational	Institutional	Ascending	0	211,413		lund1275	Yes	
mgr	mamb1296	Mambwe-Lungu			Latn	Developing	Stable	Emerging	0	211,412		malu1251	Yes	
kqn	kaon1241	Kaonde			Latn	Educational	Institutional	Ascending	0	211,412		kaon1242	Yes	
bdr	west2560	West Coast Bajau	ling Sama		Latn	Threatened	Endangered	Ascending	0	210,000		born1254	Yes	
byv	medu1238	Medumba			Latn	Developing	Institutional	Ascending	0	210,000		east2862	Yes	
log	logo1259	Logo			Latn	Developing	Stable	Ascending	0	210,000		cent2043	Yes	
maf	mafa1239	Mafa			Latn	Developing	Institutional	Ascending	0	210,000		mata1311	Yes	
nsd	sout2723	Southern Nisu			Yiii	Threatened	Endangered	Still	0	210,000		nucl1833	Yes	
pwo	pwow1235	Pwo Western Karen			Mymr	Threatened	Endangered	Ascending	0	210,000		east2341	Yes	
