From https://documentation.abes.fr/guide/html/formats/CodesLanguesISO639-3.htm		
Code	Nom en français	Display Name French
ait	arikem	Arikem
aiw	aari	Aari
aix	aighon	Aighon
aiy	ali	Ali
aja	aja (south sudan)	Aja (South Sudan)
ajg	aja (benin)	Aja (Benin)
aji	ajië	Ajië
ajn	andajin	Andajin
ajp	south levantine arabic	South Levantine Arabic
ajs	algerian jewish sign language	Algerian Jewish Sign Language
aju	judeo-moroccan arabic	Judeo-Moroccan Arabic
ajw	ajawa	Ajawa
ajz	amri karbi	Amri Karbi
aka	akan	Akan
akb	batak angkola	Batak Angkola
akc	mpur	Mpur
akd	ukpet-ehom	Ukpet-Ehom
ake	akawaio	Akawaio
akf	akpa	Akpa
akg	anakalangu	Anakalangu
akh	angal heneng	Angal Heneng
aki	aiome	Aiome
akj	aka-jeru	Aka-Jeru
akk	akkadien	Akkadien
akl	aklanon	Aklanon
akm	aka-bo	Aka-Bo
ako	akurio	Akurio
akp	siwu	Siwu
akq	ak	Ak
akr	araki	Araki
aks	akaselem	Akaselem
akt	akolet	Akolet
aku	akum	Akum
akv	akhvakh	Akhvakh
akw	akwa	Akwa
akx	aka-kede	Aka-Kede
aky	aka-kol	Aka-Kol
akz	alabama	Alabama
ala	alago	Alago
alc	qawasqar	Qawasqar
ald	alladian	Alladian
ale	aléoute	Aléoute
alf	alege	Alege
alg	algonquines, langues	Algonquines, Langues
alh	alawa	Alawa
ali	amaimon	Amaimon
alj	alangan	Alangan
alk	alak	Alak
all	allar	Allar
alm	amblong	Amblong
aln	gheg albanian	Gheg Albanian
alo	larike-wakasihu	Larike-Wakasihu
alp	alune	Alune
alq	algonquin	Algonquin
alr	alutor	Alutor
als	tosk albanian	Tosk Albanian
alt	altaï du sud	Altaï Du Sud
alu	are'are	Are'Are
alw	alaba-k’abeena	Alaba-K’Abeena
alx	amol	Amol
aly	alyawarr	Alyawarr
alz	alur	Alur
ama	amanayé	Amanayé
amb	ambo	Ambo
amc	amahuaca	Amahuaca
ame	yanesha'	Yanesha'
amf	hamer-banna	Hamer-Banna
amg	amurdak	Amurdak
amh	amharique	Amharique
ami	amis	Amis
amj	amdang	Amdang
amk	ambai	Ambai
aml	war-jaintia	War-Jaintia
amm	ama (papua new guinea)	Ama (Papua New Guinea)
amn	amanab	Amanab
amo	amo	Amo
amp	alamblak	Alamblak
amq	amahai	Amahai
amr	amarakaeri	Amarakaeri
ams	southern amami-oshima	Southern Amami-Oshima
amt	amto	Amto
amu	guerrero amuzgo	Guerrero Amuzgo
amv	ambelau	Ambelau
amw	western neo-aramaic	Western Neo-Aramaic
amx	anmatyerre	Anmatyerre
amy	ami	Ami
amz	atampaya	Atampaya
ana	andaqui	Andaqui
anb	andoa	Andoa
anc	ngas	Ngas
and	ansus	Ansus
ane	xârâcůů	Xârâcůů
anf	animere	Animere
ang	anglo-saxon (450-1100)	Anglo-Saxon (450-1100)
anh	nend	Nend
ani	andi	Andi
anj	anor	Anor
ank	goemai	Goemai
anl	anu-hkongso chin	Anu-Hkongso Chin
anm	anal	Anal
ann	obolo	Obolo
ano	andoque	Andoque
anp	angika	Angika
anq	jarawa (india)	Jarawa (India)
anr	andh	Andh
ans	anserma	Anserma
ant	antakarinya	Antakarinya
anu	anuak	Anuak
anv	denya	Denya
anw	anaang	Anaang
anx	andra-hus	Andra-Hus
any	anyin	Anyin
anz	anem	Anem
aoa	angolar	Angolar
aob	abom	Abom
aoc	pemon	Pemon
aod	andarum	Andarum
aoe	angal enen	Angal Enen
aof	bragat	Bragat
aog	angoram	Angoram
aoi	anindilyakwa	Anindilyakwa
aoj	mufian	Mufian
aok	arhö	Arhö
aol	alor	Alor
aom	ömie	Ömie
aon	bumbita arapesh	Bumbita Arapesh
aor	aore	Aore
aos	taikat	Taikat
aot	atong (india)	Atong (India)
aou	a'ou	A'Ou
aox	atorada	Atorada
aoz	uab meto	Uab Meto
apa	apaches, langues	Apaches, Langues
apb	sa'a	Sa'A
apc	north levantine arabic	North Levantine Arabic
apd	sudanese arabic	Sudanese Arabic
ape	bukiyip	Bukiyip
apf	pahanan agta	Pahanan Agta
apg	ampanang	Ampanang
aph	athpariya	Athpariya
api	apiaká	Apiaká
apj	jicarilla apache	Jicarilla Apache
apk	kiowa apache	Kiowa Apache
apl	lipan apache	Lipan Apache
apm	mescalero-chiricahua apache	Mescalero-Chiricahua Apache
apn	apinayé	Apinayé
apo	ambul	Ambul
app	apma	Apma
apq	a-pucikwar	A-Pucikwar
apr	arop-lokep	Arop-Lokep
aps	arop-sissano	Arop-Sissano
apt	apatani	Apatani
apu	apurină	Apurină
apv	alapmunte	Alapmunte
apw	western apache	Western Apache
apx	aputai	Aputai
apy	apalaí	Apalaí
apz	safeyoka	Safeyoka
aqc	archi	Archi
aqd	ampari dogon	Ampari Dogon
aqg	arigidi	Arigidi
aqk	aninka	Aninka
aqm	atohwaim	Atohwaim
aqn	northern alta	Northern Alta
aqp	atakapa	Atakapa
aqr	arhà	Arhà
aqt	angaité	Angaité
aqz	akuntsu	Akuntsu
ara	arabe	Arabe
arb	standard arabic	Standard Arabic
arc	araméen d'empire (700-300 av J.C.)	Araméen D'Empire (700-300 Av J.C.)
ard	arabana	Arabana
are	western arrarnta	Western Arrarnta
arg	aragonais	Aragonais
arh	arhuaco	Arhuaco
ari	arikara	Arikara
arj	arapaso	Arapaso
ark	arikapú	Arikapú
arl	arabela	Arabela
arn	mapudungun ; mapuce ; mapuche	Mapudungun ; Mapuce ; Mapuche
aro	araona	Araona
arp	arapaho	Arapaho
arq	algerian arabic	Algerian Arabic
arr	karo (brazil)	Karo (Brazil)
ars	najdi arabic	Najdi Arabic
art	langues artificielles	Langues Artificielles
aru	aruá (amazonas state)	Aruá (Amazonas State)
arv	arbore	Arbore
arw	arawak	Arawak
arx	aruá (rodonia state)	Aruá (Rodonia State)
ary	moroccan arabic	Moroccan Arabic
arz	egyptian arabic	Egyptian Arabic
asa	asu (tanzania)	Asu (Tanzania)
asb	assiniboine	Assiniboine
asc	casuarina coast asmat	Casuarina Coast Asmat
ase	american sign language	American Sign Language
asf	auslan	Auslan
asg	cishingini	Cishingini
ash	abishira	Abishira
asi	buruwai	Buruwai
asj	sari	Sari
ask	ashkun	Ashkun
asl	asilulu	Asilulu
asm	assamais	Assamais
asn	xingú asuriní	Xingú Asuriní
aso	dano	Dano
asp	algerian sign language	Algerian Sign Language
asq	austrian sign language	Austrian Sign Language
asr	asuri	Asuri
ass	ipulo	Ipulo
ast	asturien ; bable ; léonais ; asturoléonais	Asturien ; Bable ; Léonais ; Asturoléonais
asu	tocantins asurini	Tocantins Asurini
asv	asoa	Asoa
asw	australian aborigines sign language	Australian Aborigines Sign Language
asx	muratayak	Muratayak
asy	yaosakor asmat	Yaosakor Asmat
asz	as	As
ata	pele-ata	Pele-Ata
atb	zaiwa	Zaiwa
atc	atsahuaca	Atsahuaca
atd	ata manobo	Ata Manobo
ate	atemble	Atemble
atg	ivbie north-okpela-arhe	Ivbie North-Okpela-Arhe
ath	athapascanes, langues	Athapascanes, Langues
ati	attié	Attié
atj	atikamekw	Atikamekw
atk	ati	Ati
atl	mt. iraya agta	Mt. Iraya Agta
atm	ata	Ata
atn	ashtiani	Ashtiani
ato	atong (cameroon)	Atong (Cameroon)
atp	pudtol atta	Pudtol Atta
atq	aralle-tabulahan	Aralle-Tabulahan
atr	waimiri-atroari	Waimiri-Atroari
ats	gros ventre	Gros Ventre
att	pamplona atta	Pamplona Atta
atu	reel	Reel
atv	northern altai	Northern Altai
atw	atsugewi	Atsugewi
atx	arutani	Arutani
aty	aneityum	Aneityum
atz	arta	Arta
aua	asumboa	Asumboa
aub	alugu	Alugu
auc	waorani	Waorani
aud	anuta	Anuta
aug	aguna	Aguna
auh	aushi	Aushi
aui	anuki	Anuki
auj	awjilah	Awjilah
auk	heyo	Heyo
aul	aulua	Aulua
aum	asu (nigeria)	Asu (Nigeria)
aun	molmo one	Molmo One
auo	auyokawa	Auyokawa
aup	makayam	Makayam
auq	anus	Anus
aur	aruek	Aruek
aus	australiennes, langues	Australiennes, Langues
aut	austral (langues australes)	Austral (Langues Australes)
auu	auye	Auye
auv	auvergnat	Auvergnat
auw	awyi	Awyi
aux	aurá	Aurá
auy	awiyaana	Awiyaana
auz	uzbeki arabic	Uzbeki Arabic
ava	avar	Avar
avb	avau	Avau
avd	alviri-vidari	Alviri-Vidari
ave	avestique	Avestique
avi	avikam	Avikam
avk	kotava	Kotava
avl	eastern egyptian bedawi arabic	Eastern Egyptian Bedawi Arabic
avm	angkamuthi	Angkamuthi
avn	avatime	Avatime
avo	agavotaguerra	Agavotaguerra
avs	aushiri	Aushiri
avt	au	Au
avu	avokaya	Avokaya
avv	avá-canoeiro	Avá-Canoeiro
awa	awadhi	Awadhi
awb	awa (papua new guinea)	Awa (Papua New Guinea)
awc	cicipu	Cicipu
awe	awetí	Awetí
awg	anguthimri	Anguthimri
awh	awbono	Awbono
awi	aekyom	Aekyom
awk	awabakal	Awabakal
awm	arawum	Arawum
awn	awngi	Awngi
awo	awak	Awak
awr	awera	Awera
aws	south awyu	South Awyu
awt	araweté	Araweté
awu	central awyu	Central Awyu
awv	jair awyu	Jair Awyu
aww	awun	Awun
awx	awara	Awara
awy	edera awyu	Edera Awyu
axb	abipon	Abipon
axe	ayerrerenge	Ayerrerenge
axg	mato grosso arára	Mato Grosso Arára
axk	yaka (central african republic)	Yaka (Central African Republic)
axl	lower southern aranda	Lower Southern Aranda
axm	middle armenian	Middle Armenian
axx	xaragurè	Xaragurè
aya	awar	Awar
ayb	ayizo gbe	Ayizo Gbe
ayc	southern aymara	Southern Aymara
ayd	ayabadhu	Ayabadhu
aye	ayere	Ayere
ayg	ginyanga	Ginyanga
ayh	hadrami arabic	Hadrami Arabic
ayi	leyigha	Leyigha
ayk	akuku	Akuku
ayl	libyan arabic	Libyan Arabic
aym	aymara	Aymara
ayn	sanaani arabic	Sanaani Arabic
ayo	ayoreo	Ayoreo
ayp	north mesopotamian arabic	North Mesopotamian Arabic
ayq	ayi (papua new guinea)	Ayi (Papua New Guinea)
ayr	central aymara	Central Aymara
